step,score,transferred_from
0,5.506484,362
1,5.95505,
2,4.951764,
3,5.011958,
4,4.91879,
5,4.98015,
6,5.073322,
7,5.100503,
8,5.122981,
9,5.077111,
10,5.280139,
11,5.253322,
12,5.147256,
13,5.255599,
14,5.023475,
15,5.019932,
16,5.272469,384
17,5.057184,
18,2.957867,
19,5.104808,
20,4.982375,
21,5.404492,
22,4.992986,
23,4.874342,
24,5.039974,
25,4.727454,
26,4.914241,
27,4.938063,
28,5.000698,
29,5.593015,
30,5.7016,
31,5.293268,
32,4.917953,
33,4.938722,
34,5.220783,
35,4.988144,
36,5.246349,
37,4.848977,
38,4.892536,
39,5.193601,
40,5.11075,
41,5.200812,
42,5.283981,
43,5.247489,
44,5.202403,
45,5.199975,
46,4.958366,
47,4.991255,
48,5.063198,
49,5.172057,
50,5.207952,
51,5.17496,
52,5.278526,
53,5.179732,
54,5.16456,
55,5.255085,
56,5.174279,
57,5.051913,
58,5.097495,
59,6.272839,
60,5.176638,
61,3.827002,
62,4.899157,
63,4.892595,
64,4.860532,
65,4.989578,
66,5.114628,
67,4.946241,
68,5.240392,
69,5.247608,
70,5.371712,
71,5.20586,
72,5.023518,
73,4.780541,
74,5.027088,
75,4.920454,
76,5.071728,362
77,5.465493,
78,6.323857,
79,6.206971,
80,5.264239,
81,6.337347,
82,5.395554,
83,5.572343,
84,5.613631,
85,6.056416,
86,6.027816,
87,5.601633,
88,5.445327,
89,5.315302,
90,5.315056,
91,5.420921,
92,5.476248,
93,5.97745,
94,5.484493,
95,6.168242,
96,6.310273,
97,5.623515,
98,6.177539,
99,9.180102,
100,6.439704,
101,6.014482,
102,5.452839,
103,6.004932,
104,5.69186,
105,5.577106,
106,5.870889,
107,5.98882,
108,5.515266,
109,6.258875,
110,5.63838,
111,5.854642,
112,5.868421,
113,5.743503,
114,6.470686,
115,5.852181,
116,5.612253,
117,5.219544,
118,5.347352,
119,5.228817,
120,5.440309,
121,5.428953,355
122,5.47535,
123,5.429878,
124,5.514506,
125,5.412529,
126,5.059489,
127,5.628121,
128,5.309378,
129,5.168572,
130,5.255058,
131,5.004627,
132,5.481568,
133,5.406987,
134,5.633626,
135,5.089484,
136,5.424308,362
137,6.191789,
138,5.771364,
139,4.892279,
140,5.595582,
141,5.919757,
142,5.313588,
143,5.163563,
144,5.269422,
145,6.247038,
146,5.54089,
147,6.11361,
148,6.092772,
149,5.993938,
150,6.160279,
151,4.861293,
152,5.371078,
153,5.894604,
154,5.758233,
155,6.037592,
156,4.862403,
157,4.942819,
158,4.919898,
159,6.802377,
160,6.149561,
161,5.959598,
162,4.970386,
163,4.657495,
164,5.128815,
165,4.987305,
166,4.955898,
167,5.012139,
168,5.032217,
169,4.923009,
170,6.013254,
171,4.862223,
172,5.581497,
173,4.862452,
174,4.945318,
175,4.850036,
176,6.098488,
177,5.007608,
178,4.764481,
179,4.948843,
180,4.892124,
181,4.788146,
182,4.758008,
183,4.90027,
184,5.623195,
185,5.489983,
186,6.208217,
187,6.056463,
188,5.097286,
189,5.803406,
190,5.879063,
191,5.891332,
192,5.283477,
193,7.436657,
194,6.269853,
195,5.19686,
196,4.746623,
197,6.090157,
198,5.690705,
199,5.002304,
200,6.336785,
201,5.172084,
202,5.375969,
203,4.985373,
204,5.576613,
205,4.909411,
206,4.696356,
207,5.534092,
208,5.344872,
209,7.010036,
210,6.483169,
211,5.258039,
212,7.200063,
213,5.561271,
214,5.913254,
215,5.230012,
216,5.760356,
217,5.783478,
218,6.38124,
219,6.399943,
220,7.551716,
221,5.986266,
222,5.695334,
223,5.409159,
224,5.342006,
225,6.435484,
226,5.629267,
227,5.628906,
228,5.044508,
229,5.791364,
230,5.260195,
231,5.848897,
232,5.914425,
233,5.514825,
234,6.014219,
235,6.379817,
236,6.502135,
237,5.114654,
238,5.122911,
239,5.016216,
240,5.118992,
241,5.154538,399
242,5.505863,
243,6.371827,
244,5.987789,
245,6.459416,
246,6.419828,
247,6.13218,
248,6.16612,
249,6.48162,
250,5.95657,
251,6.320556,
252,6.376968,
253,6.309356,
254,1.900336,
255,6.239361,
256,6.44707,
257,6.355149,
258,5.072326,
259,6.297785,
260,6.019421,
261,5.836344,
262,5.406754,
263,6.327408,
264,5.940763,
265,6.521798,
266,6.63769,
267,5.882505,
268,5.0764,
269,6.487023,
270,5.129615,
271,6.816652,
272,6.183677,
273,4.453806,
274,3.941319,
275,6.401693,
276,6.059455,
277,4.402558,
278,5.132268,
279,6.112416,
280,5.904438,
281,6.407378,
282,5.188524,
283,6.212999,
284,5.00677,
285,6.116295,
286,5.982352,
287,6.119885,
288,6.205432,
289,6.600741,
290,6.000089,
291,5.783571,
292,5.975302,
293,6.4518,
294,6.554773,
295,5.883879,
296,5.648548,
297,6.583789,
298,6.720806,
299,5.208932,
300,4.392051,
