generation,id,fitness,species,parent1,parent2
0,82,0.6856739587493609,1,-1,-1
1,82,0.6856739587493609,1,-1,-1
2,575,0.690409831197211,3,356,82
3,612,0.8317986315005327,1,83,465
4,612,0.8317986315005327,1,83,465
5,612,0.8317986315005327,1,83,465
6,612,0.8317986315005327,1,83,465
7,612,0.8317986315005327,1,83,465
8,612,0.8317986315005327,1,83,465
9,612,0.8317986315005327,1,83,465
10,612,0.8317986315005327,2,83,465
11,612,0.8317986315005327,2,83,465
12,612,0.8317986315005327,2,83,465
13,612,0.8317986315005327,2,83,465
14,612,0.8317986315005327,2,83,465
15,612,0.8317986315005327,2,83,465
16,3252,0.8595811451308727,2,2915,2915
17,3252,0.8595811451308727,2,2915,2915
18,3252,0.8595811451308727,2,2915,2915
19,3252,0.8595811451308727,2,2915,2915
20,3252,0.8595811451308727,2,2915,2915
21,3252,0.8595811451308727,2,2915,2915
22,3252,0.8595811451308727,2,2915,2915
23,3252,0.8595811451308727,2,2915,2915
24,3252,0.8595811451308727,2,2915,2915
25,3252,0.8595811451308727,2,2915,2915
26,3252,0.8595811451308727,2,2915,2915
27,3252,0.8595811451308727,2,2915,2915
28,3252,0.8595811451308727,2,2915,2915
29,3252,0.8595811451308727,2,2915,2915
30,3252,0.8595811451308727,2,2915,2915
31,3252,0.8595811451308727,2,2915,2915
32,3252,0.8595811451308727,2,2915,2915
33,3252,0.8595811451308727,2,2915,2915
34,3252,0.8595811451308727,2,2915,2915
35,3252,0.8595811451308727,2,2915,2915
36,3252,0.8595811451308727,2,2915,2915
37,3252,0.8595811451308727,2,2915,2915
38,3252,0.8595811451308727,2,2915,2915
39,3252,0.8595811451308727,2,2915,2915
40,3252,0.8595811451308727,2,2915,2915
41,3252,0.8595811451308727,2,2915,2915
42,3252,0.8595811451308727,2,2915,2915
43,3252,0.8595811451308727,2,2915,2915
44,3252,0.8595811451308727,2,2915,2915
45,3252,0.8595811451308727,2,2915,2915
46,3252,0.8595811451308727,2,2915,2915
47,3252,0.8595811451308727,2,2915,2915
48,3252,0.8595811451308727,2,2915,2915
49,3252,0.8595811451308727,2,2915,2915
50,3252,0.8595811451308727,2,2915,2915
51,3252,0.8595811451308727,2,2915,2915
52,3252,0.8595811451308727,2,2915,2915
53,10404,0.8845176878579464,2,3252,10212
54,10404,0.8845176878579464,2,3252,10212
55,10404,0.8845176878579464,2,3252,10212
56,10404,0.8845176878579464,2,3252,10212
57,10404,0.8845176878579464,2,3252,10212
58,10404,0.8845176878579464,2,3252,10212
59,10404,0.8845176878579464,2,3252,10212
60,10404,0.8845176878579464,2,3252,10212
61,10404,0.8845176878579464,2,3252,10212
62,10404,0.8845176878579464,2,3252,10212
63,10404,0.8845176878579464,2,3252,10212
64,10404,0.8845176878579464,2,3252,10212
65,10404,0.8845176878579464,2,3252,10212
66,10404,0.8845176878579464,2,3252,10212
67,10404,0.8845176878579464,2,3252,10212
68,10404,0.8845176878579464,2,3252,10212
69,10404,0.8845176878579464,2,3252,10212
70,10404,0.8845176878579464,2,3252,10212
71,10404,0.8845176878579464,2,3252,10212
72,10404,0.8845176878579464,2,3252,10212
73,10404,0.8845176878579464,2,3252,10212
74,10404,0.8845176878579464,2,3252,10212
75,10404,0.8845176878579464,2,3252,10212
76,10404,0.8845176878579464,2,3252,10212
77,10404,0.8845176878579464,2,3252,10212
78,10404,0.8845176878579464,2,3252,10212
79,15402,0.8894100873318741,2,14247,14247
80,15402,0.8894100873318741,2,14247,14247
81,15402,0.8894100873318741,2,14247,14247
82,15402,0.8894100873318741,2,14247,14247
83,15402,0.8894100873318741,2,14247,14247
84,15402,0.8894100873318741,2,14247,14247
85,15402,0.8894100873318741,2,14247,14247
86,15402,0.8894100873318741,2,14247,14247
87,15402,0.8894100873318741,2,14247,14247
88,15402,0.8894100873318741,2,14247,14247
89,15402,0.8894100873318741,2,14247,14247
90,15402,0.8894100873318741,2,14247,14247
91,15402,0.8894100873318741,2,14247,14247
92,15402,0.8894100873318741,2,14247,14247
93,15402,0.8894100873318741,2,14247,14247
94,15402,0.8894100873318741,2,14247,14247
95,15402,0.8894100873318741,2,14247,14247
96,15402,0.8894100873318741,2,14247,14247
97,15402,0.8894100873318741,2,14247,14247
98,15402,0.8894100873318741,2,14247,14247
99,15402,0.8894100873318741,2,14247,14247
100,15402,0.8894100873318741,2,14247,14247
