step,score,transferred_from
0,15.176265,705
1,-0.817721,
2,3.097829,
3,17.660515,
4,11.90637,
5,3.319623,
6,18.295472,
7,9.901632,
8,17.847621,
9,7.381637,
10,18.097859,
11,18.284673,
12,6.818828,
13,19.235893,
14,18.726666,
15,15.959589,
16,11.882841,
17,18.344918,
18,14.809185,
19,4.206154,
20,15.231017,
21,8.577234,
22,13.107694,
23,19.035128,
24,4.915317,
25,5.230416,
26,6.757433,
27,10.255418,
28,11.344197,
29,19.537004,
30,14.609507,
31,17.932908,
32,8.408526,
33,18.165876,
34,11.077055,
35,15.878362,
36,6.814397,
37,16.954316,
38,17.662673,
39,7.123485,
40,5.284679,
41,16.463479,
42,7.68234,
43,7.384518,
44,8.419102,
45,19.154409,
46,18.908711,
47,3.256047,
48,3.802714,
49,6.223436,
50,8.377205,
51,7.19881,
52,12.259823,
53,14.386395,
54,15.385166,
55,14.68739,
56,7.372939,
57,11.354799,
58,16.660158,
59,6.577398,
60,14.605175,
61,7.352854,714
62,7.900137,
63,7.660039,
64,15.113754,
65,13.056175,
66,7.70875,
67,18.426507,
68,19.419896,
69,6.645359,
70,15.702512,
71,18.584294,
72,4.620843,
73,15.670076,
74,19.190462,
75,16.385922,
76,18.933438,
77,18.91125,
78,18.021613,
79,19.119265,
80,18.818035,
81,19.186297,
82,6.599604,
83,18.379248,
84,16.516773,
85,13.575966,
86,3.29975,
87,3.713088,
88,6.9603,
89,7.198596,
90,13.96018,
91,18.355251,752
92,6.74284,
93,18.290183,
94,5.685423,
95,5.703581,
96,17.789111,
97,18.362646,
98,18.067212,
99,18.584768,
100,14.338639,
101,17.109051,
102,18.234448,
103,17.391277,
104,17.793378,
105,7.270236,
106,7.166235,744
107,6.625502,
108,14.363052,
109,7.142016,
110,19.660012,
111,17.927929,
112,18.322833,
113,17.890619,
114,18.07049,
115,17.761222,
116,7.731299,
117,14.84672,
118,17.905614,
119,18.040027,
120,17.212266,
121,17.760708,
122,6.534525,
123,4.153846,
124,19.364018,
125,18.085258,
126,7.056962,
127,3.792807,
128,17.84577,
129,18.06133,
130,17.75469,
131,18.01357,
132,17.642442,
133,18.104789,
134,18.725181,
135,18.360812,
136,7.246554,838
137,6.837551,
138,6.734977,
139,18.97017,
140,19.302615,
141,8.103207,
142,18.293812,
143,15.092385,
144,14.918943,
145,15.688361,
146,3.894447,
147,11.039448,
148,5.569493,
149,18.126155,
150,7.218073,
151,7.450649,824
152,7.228592,
153,18.407887,
154,8.751822,
155,14.41153,
156,12.162022,
157,7.448457,
158,19.519084,
159,18.990749,
160,7.331867,
161,12.249014,
162,7.960169,
163,19.30191,
164,14.456182,
165,6.930702,
166,19.204872,811
167,19.279441,
168,13.658645,
169,17.294416,
170,17.859117,
171,18.775371,
172,17.678882,
173,18.332508,
174,17.810968,
175,18.789,
176,18.384689,
177,16.414325,
178,18.40325,
179,18.562068,
180,18.603618,
181,14.498265,
182,11.568183,
183,4.736135,
184,14.485949,
185,18.765299,
186,14.454398,
187,7.753367,
188,13.911108,
189,18.816388,
190,18.242635,
191,18.452948,
192,18.232086,
193,19.587366,
194,17.98868,
195,16.533474,
196,7.659059,838
197,6.860355,
198,18.15482,
199,18.741986,
200,18.066941,
201,20.017886,
202,7.303595,
203,-0.205202,
204,15.108623,
205,7.894404,
206,18.15977,
207,18.310693,
208,12.217749,
209,18.799921,
210,4.48704,
