step,score,transferred_from
0,8.480942,492
1,8.411949,
2,5.743541,
3,15.241473,
4,7.898434,
5,8.798198,
6,11.727312,
7,14.78348,
8,4.845054,
9,14.794827,
10,8.096107,
11,7.600363,
12,10.258646,
13,5.1947,
14,18.988418,
15,8.480638,
16,4.838776,
17,12.115362,
18,6.989534,
19,17.08932,
20,8.514985,
21,4.78508,
22,15.84669,
23,9.086619,
24,7.949599,
25,7.41683,
26,18.650666,
27,8.073967,
28,15.214611,
29,7.530827,
30,11.277534,
31,14.197539,
32,4.329639,
33,12.094512,
34,5.239942,
35,6.324645,
36,3.081061,
37,8.752381,
38,7.186879,
39,16.595742,
40,17.971083,
41,4.738153,
42,7.449671,
43,11.800961,
44,6.681726,
45,15.954091,
46,5.032343,
47,4.937687,
48,17.551279,
49,13.389981,
50,7.800021,
51,3.849683,
52,14.078599,
53,7.985869,
54,11.999531,
55,7.967415,
56,18.41337,
57,11.460558,
58,4.734454,
59,4.719004,
60,7.07007,
61,6.0692,
62,6.711631,
63,6.870594,
64,6.320743,
65,6.96972,
66,15.783649,
67,12.973328,
68,18.527282,
69,7.328916,
70,7.041792,
71,10.895566,
72,7.583493,
73,2.68386,
74,8.588317,
75,2.911976,
76,3.808219,492
77,7.476764,
78,13.590493,
79,8.828368,
80,14.32956,
81,6.624125,
82,8.240229,
83,6.934328,
84,17.74833,
85,16.612864,
86,8.137566,
87,11.389477,
88,11.378583,
89,7.193569,
90,4.737693,
91,7.969177,530
92,2.955663,
93,18.270039,
94,6.798748,
95,6.596718,
96,7.45841,
97,4.469115,
98,4.347791,
99,11.872761,
100,4.676472,
101,4.413928,
102,17.899604,
103,3.703359,
104,2.218949,
105,8.559585,
106,5.967655,
107,7.579035,
108,11.271334,
109,10.114163,
110,11.052716,
111,7.898701,
112,6.580568,
113,15.553413,
114,11.708067,
115,4.210029,
116,6.982045,
117,7.525418,
118,4.914473,
119,4.226363,
120,6.912642,
121,6.886003,559
122,3.595739,
123,3.871233,
124,11.538719,
125,6.087226,
126,7.122486,
127,4.684812,
128,4.267732,
129,11.317758,
130,6.843712,
131,5.043287,
132,18.531776,
133,13.25935,
134,12.236727,
135,7.187314,
136,17.053629,
137,7.171221,
138,7.68671,
139,4.05043,
140,5.246643,
141,3.925531,
142,3.888761,
143,2.844544,
144,17.730412,
145,7.945803,
146,6.535404,
147,3.663554,
148,3.358324,
149,11.446819,
150,6.698664,
151,13.972468,
152,11.689767,
153,6.474862,
154,3.211572,
155,3.307101,
156,7.603564,
157,3.330039,
158,4.127175,
159,3.128631,
160,7.390275,
161,3.300123,
162,3.351303,
163,7.107242,
164,11.690532,
165,3.43523,
166,10.453906,509
167,17.785236,
168,4.135883,
169,7.035316,
170,7.187693,
171,11.762041,
172,18.32558,
173,18.034051,
174,15.214577,
175,17.617483,
176,6.432518,
177,17.85766,
178,6.843222,
179,15.937695,
180,7.488821,
181,17.851026,
182,14.631331,
183,13.723463,
184,6.901121,
185,6.863561,
186,13.423741,
187,11.912097,
188,14.214586,
189,10.458821,
190,7.140767,
191,6.568457,
192,6.875084,
193,14.163021,
194,7.023853,
195,11.370905,
196,16.154643,515
197,7.324945,
198,4.443663,
199,8.134637,
200,8.044357,
201,7.058793,
202,11.80326,
203,8.154701,
204,13.15964,
205,4.32932,
206,18.848314,
207,4.008022,
208,14.820573,
209,8.511048,
210,4.21565,
211,9.084992,
212,9.198641,
213,7.544578,
214,12.786743,
215,4.229807,
216,2.870743,
217,3.814607,
218,4.1224,
219,7.341737,
220,19.036684,
221,6.860743,
222,4.999158,
223,4.8416,
224,8.227005,
225,7.466805,
226,4.221217,532
227,9.533904,
228,6.819832,
229,12.803401,
230,14.402012,
231,18.205021,
232,10.782979,
233,15.772966,
234,7.414178,
235,7.331864,
236,18.118123,
237,5.373559,
238,6.628682,
239,7.079549,
240,7.462312,
241,4.063137,
242,10.71374,
243,9.977064,
244,10.545642,
245,13.976204,
246,7.341215,
247,17.707898,
248,5.988085,
249,7.277096,
250,17.240284,
251,4.363409,
252,17.678517,
253,7.468321,
254,13.120205,
255,17.339361,
256,7.170141,
257,12.21519,
258,4.292199,
259,3.80317,
260,7.994633,
261,7.236789,
262,8.202182,
263,10.127744,
264,4.14703,
265,7.53598,
266,7.37789,
267,1.296735,
268,4.809569,
269,8.419462,
270,7.175579,
271,11.979889,559
272,7.350679,
273,14.486679,
274,7.641241,
275,7.668615,
276,5.223304,
277,4.526615,
278,19.132542,
279,5.124389,
280,15.249909,
281,13.043591,
282,6.51346,
283,8.276198,
284,6.708128,
285,8.022462,
286,4.03066,
287,7.072521,
288,3.496118,
289,4.663669,
290,7.510638,
291,14.460807,
292,4.741701,
293,14.811944,
294,15.073538,
295,5.13807,
296,4.209757,
297,7.173513,
298,4.802763,
299,7.064394,
300,8.130196,
