generation,id,novelty,score,species,parent1,parent2
182,33754,0.48414669624156503,1.035845,15,33364,33569
183,33890,0.4745860829791654,1.265007,14,33704,33711
184,34170,0.5631734405455002,0.069863,8,33899,33927
185,34170,0.5128899083086707,0.069863,8,33899,33927
186,34526,0.4966126490638519,0.145801,14,34258,34271
187,34170,0.5443236117022392,0.069863,8,33899,33927
188,34170,0.5596696644048234,0.069863,8,33899,33927
189,34170,0.5175821018337988,0.069863,8,33899,33927
190,34870,0.504689617974941,1.613939,14,34776,34763
191,34870,0.4828823554700021,1.613939,14,34776,34763
192,35737,0.4752554494150613,0.096896,14,35546,34870
193,35937,0.5874936138593853,0.492796,14,35727,34870
194,35937,0.5970751115641287,0.492796,14,35727,34870
195,35937,0.5753430369242735,0.492796,14,35727,34870
196,35937,0.5611834704292781,0.492796,14,35727,34870
197,36645,0.5287059211521788,0.06336,8,36439,36444
198,36645,0.5381069656759013,0.06336,8,36439,36444
199,36645,0.5167711971517753,0.06336,8,36439,36444
200,36645,0.5363592339858295,0.06336,8,36439,36444
201,36645,0.5195012959488502,0.06336,8,36439,36444
202,36645,0.5203690157706335,0.06336,8,36439,36444
203,36645,0.5373964890585516,0.06336,8,36439,36444
204,36645,0.537926181585452,0.06336,8,36439,36444
205,36645,0.5290354689104821,0.06336,8,36439,36444
206,36645,0.531525950046956,0.06336,8,36439,36444
207,38576,0.5167821442137966,0.800789,14,38378,38378
208,36645,0.5270139351584715,0.06336,8,36439,36444
209,36645,0.517376070764932,0.06336,8,36439,36444
210,36645,0.5373708251274262,0.06336,8,36439,36444
211,36645,0.5104357023241923,0.06336,8,36439,36444
212,36645,0.5091760892702942,0.06336,8,36439,36444
213,36645,0.5287473799941479,0.06336,8,36439,36444
214,36645,0.5302822766933214,0.06336,8,36439,36444
215,36645,0.5324063631643645,0.06336,8,36439,36444
216,36645,0.5396138660951912,0.06336,8,36439,36444
217,36645,0.5050693019925363,0.06336,8,36439,36444
218,36645,0.5157896241746242,0.06336,8,36439,36444
219,36645,0.497177706049075,0.06336,8,36439,36444
220,36645,0.5015843092221772,0.06336,8,36439,36444
221,36645,0.5159463850494816,0.06336,8,36439,36444
222,36645,0.5034656983905921,0.06336,8,36439,36444
223,36645,0.5326199715249497,0.06336,8,36439,36444
224,36645,0.5118767712385264,0.06336,8,36439,36444
225,36645,0.5133631882183237,0.06336,8,36439,36444
