step,score,transferred_from
0,13.124155,445
1,6.204395,
2,9.660952,
3,14.374964,
4,11.063587,
5,12.345927,
6,7.519112,
7,14.958818,
8,13.559062,
9,13.286311,
10,8.441227,
11,9.612224,
12,10.367439,
13,11.774618,
14,7.64706,
15,7.863585,
16,14.293164,
17,8.021673,
18,16.420204,
19,7.687653,
20,7.42163,
21,14.675642,
22,7.628923,
23,8.249677,
24,7.569087,
25,12.737555,
26,10.95766,
27,8.029716,
28,11.197758,
29,11.537596,
30,7.729636,
31,5.771635,362
32,7.475299,
33,7.25701,
34,6.17599,
35,11.038688,
36,7.364715,
37,6.531993,
38,9.744021,
39,15.499157,
40,15.687655,
41,8.01875,
42,6.481993,
43,9.934691,
44,9.235801,
45,8.117757,
46,9.959603,469
47,8.99788,
48,12.323211,
49,17.266491,
50,8.184899,
51,12.492717,
52,15.276098,
53,16.994323,
54,7.760747,
55,8.038906,
56,10.592949,
57,8.056842,
58,7.279424,
59,6.507383,
60,8.737083,
61,11.094466,399
62,8.076868,
63,10.246612,
64,10.132207,
65,13.273465,
66,10.257127,
67,17.28687,
68,8.730318,
69,16.332577,
70,13.54663,
71,17.887912,
72,17.841471,
73,8.246037,
74,17.456344,
75,11.094805,
76,10.837055,
77,15.496971,
78,9.740654,
79,5.502936,
80,11.630712,
81,8.699994,
82,15.780274,
83,14.191438,
84,11.99815,
85,12.767425,
86,12.669356,
87,15.849554,
88,10.46229,
89,4.902569,
90,7.560978,
91,14.61103,
92,10.197978,
93,10.841571,
94,9.635159,
95,9.939228,
96,7.48634,
97,7.592456,
98,7.154715,
99,7.525197,
100,7.911211,
101,8.421146,
102,8.034734,
103,7.649379,
104,12.341184,
105,16.161927,
106,18.979892,
107,14.974138,
108,15.489456,
109,16.943057,
110,17.111636,
111,18.556075,
112,11.656503,
113,16.741254,
114,11.567566,
115,17.15908,
116,17.817012,
117,10.690828,
118,13.312316,
119,7.624053,
120,18.500297,
121,11.905061,
122,12.763554,
123,11.879922,
124,11.266855,
125,12.022739,
126,11.693967,
127,10.717681,
128,8.285903,
129,7.631995,
130,16.787626,
131,18.170121,
132,3.526076,
133,3.610154,
134,11.359143,
135,6.731447,
136,5.738085,471
137,6.968617,
138,15.098599,
139,15.115492,
140,9.278623,
141,6.498012,
142,9.74073,
143,19.649514,
144,10.1139,
145,12.531334,
146,6.992925,
147,6.855391,
148,9.144625,
149,9.203501,
150,16.153077,
151,9.211942,
152,9.364662,
153,14.909428,
154,8.965907,
155,19.205037,
156,9.761948,
157,9.738117,
158,9.420174,
159,7.055666,
160,13.009335,
161,7.850199,
162,10.539829,
163,10.644266,
164,7.182268,
165,7.15809,
166,19.397764,509
167,8.505779,
168,17.688904,
169,12.292994,
170,20.293695,
171,14.671507,
172,13.024962,
173,12.282046,
174,16.910372,
175,15.635686,
176,10.731707,
177,18.715039,
178,18.859374,
179,19.060859,
180,19.241586,
181,3.909764,
182,11.508137,
183,7.93873,
184,7.087886,
185,11.45324,
186,10.220801,
187,9.915526,
188,8.130688,
189,11.575169,
190,18.548827,
191,10.398585,
192,14.300118,
193,3.660278,
194,17.82973,
195,13.585247,
196,14.120215,
197,3.803154,
198,11.019174,
199,8.851659,
200,6.59814,
201,14.479983,
202,3.535289,
203,19.796014,
204,7.646056,
205,5.036376,
206,5.974021,
207,6.697941,
208,20.158362,
209,9.230142,
210,9.595284,
211,7.42965,
212,11.282285,
213,6.501507,
214,4.43796,
215,3.74687,
216,12.232941,
217,10.611127,
218,3.783592,
219,10.418587,
220,17.560447,
221,3.774936,
222,16.828711,
223,7.665731,
224,17.294317,
225,16.011246,
226,11.592194,
227,10.550629,
228,6.473412,
229,12.123052,
230,6.501971,
231,7.522578,
232,17.946563,
233,16.762091,
234,19.265001,
235,7.585943,
236,17.275083,
237,13.077879,
238,12.495156,
239,11.807799,
240,10.322087,
241,12.610231,530
242,16.697668,
243,13.786291,
244,15.123494,
245,11.245278,
246,19.052259,
247,18.323106,
248,9.783368,
249,12.382144,
250,8.192652,
251,7.645509,
252,3.770545,
253,6.643588,
254,9.719214,
255,17.9903,
256,6.1967,
257,11.372492,
258,11.93792,
259,7.00126,
260,16.542383,
261,15.464899,
262,10.868949,
263,7.464865,
264,11.578325,
265,7.490917,
266,4.132503,
267,10.088755,
268,17.112795,
269,11.341149,
270,4.146825,
271,14.024997,
272,4.177658,
273,4.019249,
274,15.666967,
275,4.04414,
276,8.030881,
277,19.874492,
278,7.513673,
279,10.216679,
280,18.042436,
281,9.13578,
282,14.160487,
283,10.944301,
284,9.309285,
285,19.527622,
286,6.497833,
287,3.716281,
288,19.504465,
289,9.892977,
290,16.728228,
291,19.16904,
292,10.11513,
293,11.487376,
294,17.670614,
295,15.458927,
296,16.870577,
297,11.02183,
298,6.961377,
299,17.774259,
300,11.864635,
