step,reward,transferred_from
0,7.228023,226
1,6.738636,
2,6.070906,
3,7.63544,
4,6.815646,
5,5.678416,
6,-1.466666,
7,6.861769,
8,5.958671,
9,5.353447,
10,5.502157,
11,6.499122,
12,6.47502,
13,6.104006,
14,6.109524,
15,6.80181,
16,6.076617,
17,-1.482654,
18,5.617409,
19,-1.396238,
20,-1.403799,
21,6.695521,
22,6.09899,
23,-1.533015,
24,-1.561003,
25,5.468123,
26,4.228166,
27,9.0019,
28,6.908834,
29,7.508697,
30,6.920923,
31,7.488795,
32,6.831098,
33,-1.418276,
34,-1.415587,
35,6.234892,
36,7.529644,
37,6.798529,
38,4.640369,
39,-0.429279,
40,-0.323797,
41,-0.402743,
42,4.605307,
43,5.246675,
44,6.539177,
45,5.52229,
46,6.926181,324
47,6.11964,
48,6.894267,
49,7.083533,
50,6.948295,
51,5.563629,
52,5.9663,
53,6.928086,
54,7.555214,
55,6.126077,
56,6.839435,
57,6.861481,
58,6.817584,
59,6.723452,
60,6.431086,
61,6.889032,
62,6.105537,
63,5.864495,
64,6.628975,
65,9.620074,
66,6.287696,
67,9.311928,
68,7.763586,
69,5.659704,
70,5.87181,
71,5.683127,
72,6.566276,
73,7.523047,
74,6.277682,
75,6.558258,
76,6.794644,
77,6.936937,
78,6.126655,
79,6.489445,
80,5.071213,
81,6.522045,
82,5.904488,
83,5.892421,
84,6.347303,
85,6.171602,
86,6.286822,
87,5.807036,
88,6.32409,
89,5.717817,
90,6.112425,
91,6.221138,273
92,6.323007,
93,5.259343,
94,6.804554,
95,6.534177,
96,5.607187,
97,6.798572,
98,7.384744,
99,6.029832,
100,8.363918,
101,6.500907,
102,6.350477,
103,7.15859,
104,7.524716,
105,6.427918,
106,5.756546,345
107,5.365381,
108,5.247352,
109,5.439575,
110,5.279056,
111,5.391628,
112,5.219494,
113,7.432203,
114,4.956636,
115,5.759859,
116,4.7792,
117,6.281128,
118,6.917471,
119,8.860046,
120,5.2734,
121,4.985351,
122,5.611835,
123,5.364035,
124,7.847693,
125,5.307419,
126,6.4407,
127,6.023992,
128,6.422506,
129,5.077605,
130,6.323171,
131,8.152919,
132,6.115248,
133,6.753618,
134,8.621374,
135,6.10713,
136,6.864189,
137,5.395278,
138,5.39206,
139,5.788714,
140,6.066314,
141,4.82129,
142,8.042319,
143,7.937597,
144,5.238154,
145,7.811846,
146,5.102036,
147,5.255974,
148,7.399296,
149,5.253278,
150,6.112162,
151,9.683284,
152,6.031308,
153,6.72563,
154,8.558453,
155,5.970879,
156,6.193828,
157,5.227589,
158,5.349209,
159,5.187003,
160,6.382203,
161,5.238813,
162,7.989168,
163,8.593362,
164,6.591256,
165,4.608683,
166,-1.491166,
167,6.026668,
168,6.129351,
169,5.396381,
170,5.889107,
171,4.790153,
172,-1.481654,
173,-1.458806,
174,-1.491088,
175,-1.481903,
176,-1.425424,
177,9.475879,
178,-1.466622,
179,6.590518,
180,-1.461971,
181,6.873052,338
182,6.534763,
183,5.992889,
184,5.792405,
185,6.217474,
186,4.937468,
187,6.353946,
188,6.813934,
189,6.460774,
190,7.992519,
191,5.436253,
192,5.578873,
193,5.744616,
194,5.89472,
195,6.806543,
196,6.816378,
197,5.007889,
198,5.071284,
199,6.931443,
200,7.890591,
201,7.535955,
202,6.821294,
203,7.019818,
204,5.413159,
205,2.097217,
206,4.943037,
207,8.634791,
208,7.231231,
209,2.082768,
210,2.08683,
211,7.474681,324
212,8.0522,
213,5.921919,
214,6.079834,
215,6.533999,
216,6.522528,
217,5.243333,
218,4.88347,
219,9.41127,
220,5.26444,
221,6.485697,
222,9.668075,
223,9.677287,
224,6.564953,
225,5.123193,
226,7.850665,
227,7.227421,
228,7.355437,
229,9.168116,
230,8.503166,
231,3.108359,
232,9.237293,
233,5.772661,
234,8.306149,
235,6.129557,
236,6.46478,
237,6.103993,
238,-1.365049,
239,5.084912,
240,9.390793,
241,6.552454,
242,-1.292518,
243,-1.353326,
244,-1.391127,
245,-1.315648,
246,-1.360376,
247,-1.352558,
248,3.101259,
249,5.365407,
250,6.915297,
251,6.397378,
252,6.021775,
253,8.905459,
254,6.122214,
255,7.291379,
256,6.305721,
257,-1.388204,
258,3.267814,
259,7.286341,
260,9.461833,
261,6.300276,
262,3.256253,
263,6.122824,
264,6.627988,
265,5.956012,
266,8.099432,
267,6.409483,
268,4.216089,
269,6.020853,
270,4.610413,
271,6.950107,398
272,5.168118,
273,9.547385,
274,6.087713,
275,6.785381,
276,5.693715,
277,6.935906,
278,6.061397,
279,5.992932,
280,3.232653,
281,4.719945,
282,4.124704,
283,6.930714,
284,5.254622,
285,7.077007,
286,4.74424,
287,5.839058,
288,8.03552,
289,6.73212,
290,6.467847,
291,7.184309,
292,6.844288,
293,7.345737,
294,6.520939,
295,6.79086,
296,6.034148,
297,5.734514,
298,9.163224,
299,7.341573,
300,7.220497,
