step,score,transferred_from
0,13.770483,622
1,5.883097,
2,13.25965,
3,4.124955,
4,16.896434,
5,7.018469,
6,19.007667,
7,7.225172,
8,7.120285,
9,19.312147,
10,19.05717,
11,4.186494,
12,6.623884,
13,6.099831,
14,7.1305,
15,9.564741,
16,9.369164,
17,18.283767,
18,5.887558,
19,3.926474,
20,3.951787,
21,19.565788,
22,19.99182,
23,10.230277,
24,8.289271,
25,19.31365,
26,6.448956,
27,20.933216,
28,19.193343,
29,6.200781,
30,6.66756,
31,6.757322,
32,19.609978,
33,7.543778,
34,9.237041,
35,6.559374,
36,15.29884,
37,16.518489,
38,19.086493,
39,20.635213,
40,7.015079,
41,18.563727,
42,15.022163,
43,6.505031,
44,3.972472,
45,18.832097,
46,11.53909,
47,5.860281,
48,6.522512,
49,5.704622,
50,6.063541,
51,19.601231,
52,9.598667,
53,7.368694,
54,14.820786,
55,6.157683,
56,10.585842,
57,6.04057,
58,6.561244,
59,18.217855,
60,11.725862,
61,6.633022,
62,21.693847,
63,21.037279,
64,8.0015,
65,7.072786,
66,8.158302,
67,18.03077,
68,6.464994,
69,6.965431,
70,20.182302,
71,11.470688,
72,7.726579,
73,20.882151,
74,5.852379,
75,5.377202,
76,4.322391,
77,8.456776,
78,19.73047,
79,18.933624,
80,6.754062,
81,10.66966,
82,4.202383,
83,12.935705,
84,12.145069,
85,19.864455,
86,12.291981,
87,6.912175,
88,6.653206,
89,18.782209,
90,8.628576,
91,14.99192,
92,17.305576,
93,7.085964,
94,18.695224,
95,3.329826,
96,3.321507,
97,3.667453,
98,18.308962,
99,11.848105,
100,12.96206,
101,17.317509,
102,11.068409,
103,12.444502,
104,13.414876,
105,7.191427,
106,6.604955,622
107,20.263364,
108,20.804175,
109,10.143947,
110,4.375461,
111,18.761353,
112,10.103397,
113,20.351801,
114,21.460276,
115,6.370172,
116,16.781881,
117,8.350018,
118,19.547131,
119,10.441873,
120,7.282854,
121,18.288814,661
122,6.857879,
123,19.87618,
124,8.40333,
125,6.987508,
126,19.70892,
127,4.182389,
128,19.653436,
129,5.885701,
130,7.202834,
131,6.84215,
132,6.677068,
133,10.592697,
134,19.278547,
135,20.323609,
136,18.634582,
137,18.581338,
138,6.586572,
139,4.834608,
140,7.096621,
141,20.10547,
142,6.692468,
143,18.94391,
144,18.913953,
145,7.263135,
146,18.579593,
147,15.934854,
148,7.414542,
149,7.127095,
150,9.417866,
151,17.565345,679
152,6.497092,
153,6.503888,
154,16.865969,
155,9.500918,
156,6.633381,
157,6.241215,
158,6.817405,
159,10.025922,
160,18.456399,
161,6.348641,
162,9.394104,
163,7.441274,
164,17.575599,
165,9.410954,
166,9.481151,
167,18.578916,
168,19.593066,
169,6.277277,
170,8.904613,
171,18.897193,
172,6.09834,
173,7.294316,
174,4.099774,
175,6.748731,
176,20.472513,
177,6.095245,
178,10.781854,
179,10.851222,
180,13.381165,
181,6.166287,
182,16.660684,
183,14.174397,
184,6.524695,
185,6.961763,
186,6.47841,
187,9.451296,
188,6.691954,
189,18.676239,
190,18.914991,
191,4.111725,
192,8.750447,
193,13.214735,
194,17.753076,
195,18.822507,
196,13.273278,620
197,19.160107,
198,4.159284,
199,6.563226,
200,6.847829,
201,16.085738,
202,19.240734,
203,8.492107,
204,6.117282,
205,7.312737,
206,6.581529,
207,18.713228,
208,18.699357,
209,5.676179,
210,6.305257,
211,19.608188,
212,18.755586,
213,9.280449,
214,7.321011,
215,9.075249,
216,17.104766,
217,13.204938,
218,5.398195,
219,10.422252,
220,16.178726,
221,6.683694,
222,10.538878,
223,17.944705,
224,9.228857,
225,18.162641,
226,9.505007,
227,4.924829,
228,4.892184,
229,10.055744,
230,14.514818,
231,17.685619,
232,18.101433,
233,8.353777,
234,5.610334,
235,9.623599,
236,6.348142,
237,6.520834,
238,16.27315,
239,18.564271,
240,5.666851,
241,17.108753,
242,6.298557,
243,18.539085,
244,8.87317,
245,18.440999,
246,18.080677,
247,9.551282,
248,18.539338,
249,19.151266,
250,3.293929,
251,6.718067,
252,6.579953,
253,16.663047,
254,1.936191,
255,6.643528,
256,6.716457,648
257,6.793994,
258,7.09559,
259,20.029013,
260,6.095416,
261,19.92468,
262,7.009302,
263,19.684548,
264,20.374526,
265,14.076527,
266,14.184468,
267,17.707288,
268,19.52259,
269,6.589705,
270,6.784035,
271,7.824875,622
272,18.806626,
273,7.311587,
274,10.168629,
275,8.076563,
276,6.713932,
277,6.828004,
278,9.194569,
279,19.587369,
280,10.311642,
281,7.391418,
282,15.815318,
283,13.941605,
284,9.013727,
285,7.469163,
286,18.52246,679
287,17.931587,
288,20.545313,
289,16.39635,
290,19.136719,
291,18.26153,
292,7.81001,
293,17.605693,
294,12.364247,
295,17.968866,
296,18.693054,
297,6.648351,
298,19.546212,
299,6.47732,
300,18.701268,
