step,reward,transferred_from
0,4.773779,120
1,5.594174,
2,4.612089,
3,3.655827,
4,1.073144,
5,1.123528,
6,3.654357,
7,0.934239,
8,1.081512,
9,1.30879,
10,1.025397,
11,6.145993,
12,0.959401,
13,0.991205,
14,1.13377,
15,1.009273,
16,1.180383,
17,1.029144,
18,1.061701,
19,1.167733,
20,5.724817,
21,0.320639,
22,3.499008,
23,3.690451,
24,0.996558,
25,1.231209,
26,0.997291,
27,0.866828,
28,0.946345,
29,3.675956,
30,0.976121,
31,0.987378,
32,1.175403,
33,3.668072,
34,0.980381,
35,0.926951,
36,2.636309,
37,0.962034,
38,1.041096,
39,2.626375,
40,1.041984,
41,1.293132,
42,2.21267,
43,2.497538,
44,1.207249,
45,1.100886,
46,1.133683,
47,1.098608,
48,2.340857,
49,3.298782,
50,3.435666,
51,0.467444,
52,1.220264,
53,1.076787,
54,1.005376,
55,0.958998,
56,0.968233,
57,4.295626,
58,1.111472,
59,1.104268,
60,1.071538,
61,1.029211,
62,4.690029,
63,5.193024,
64,1.052688,
65,3.488202,
66,1.105189,
67,1.093055,
68,5.009138,
69,1.084131,
70,1.103022,
71,1.020911,
72,1.264861,
73,4.648757,
74,1.034148,
75,1.096147,
76,1.196318,
77,1.298717,
78,3.900305,
79,3.681959,
80,1.170169,
81,1.157168,
82,1.147736,
83,1.23922,
84,1.285568,
85,1.214013,
86,5.568494,
87,1.015904,
88,0.985776,
89,1.275106,
90,1.322609,
91,0.974942,
92,3.384912,
93,0.950595,
94,1.068882,
95,5.678337,
96,6.401247,
97,0.967266,
98,3.369241,
99,1.094752,
100,3.172138,
101,3.269956,
102,3.094166,
103,1.00372,
104,1.234068,
105,3.590363,
106,3.715523,101
107,3.854545,
108,5.094366,
109,3.666701,
110,3.800206,
111,3.840571,
112,0.925715,
113,3.395381,
114,3.803015,
115,4.006243,
116,6.308355,
117,1.222474,
118,3.79462,
119,3.671777,
120,3.663505,
121,3.528182,
122,3.816328,
123,3.530946,
124,3.347142,
125,3.647519,
126,3.631873,
127,1.186851,
128,5.30816,
129,3.57754,
130,1.323321,
131,0.985149,
132,2.949924,
133,1.028696,
134,3.048439,
135,0.986437,
136,3.579047,51
137,3.401416,
138,3.811627,
139,1.097244,
140,3.549116,
141,1.263407,
142,1.28024,
143,1.13613,
144,1.171283,
145,5.184244,
146,3.535797,
147,3.507116,
148,3.580947,
149,3.583028,
150,1.155376,
151,1.121373,
152,1.259029,
153,0.965456,
154,1.111321,
155,3.64954,
156,0.941178,
157,3.47772,
158,1.270278,
159,1.270125,
160,1.269051,
161,3.472812,
162,0.980121,
163,5.431466,
164,1.178821,
165,3.489157,
166,1.01969,179
167,1.20758,
168,1.27168,
169,0.982581,
170,1.133571,
171,1.027383,
172,1.252999,
173,1.239323,
174,1.303058,
175,0.974685,
176,3.961852,
177,3.589344,
178,1.190387,
179,0.947905,
180,3.897425,
181,0.968388,
182,1.200693,
183,1.261471,
184,0.996978,
185,4.636621,
186,3.272215,
187,1.041339,
188,1.045373,
189,0.92153,
190,1.070287,
191,6.619036,
192,0.975795,
193,1.26263,
194,3.332375,
195,3.457389,
196,3.624996,
197,5.323278,
198,1.250984,
199,1.211812,
200,1.136165,
201,1.153287,
202,1.040862,
