generation,id,fitness,species,parent1,parent2
0,155,0.7299474073996812,2,-1,-1
1,699,0.7599249545754936,1,131,74
2,1206,0.760791143923651,1,983,824
3,1713,0.7608439656827652,3,699,815
4,2446,0.7619982911489638,3,1817,1724
5,2446,0.7619982911489638,4,1817,1724
6,2446,0.7619982911489638,3,1817,1724
7,2446,0.7619982911489638,4,1817,1724
8,2446,0.7619982911489638,4,1817,1724
9,2446,0.7619982911489638,4,1817,1724
10,2446,0.7619982911489638,3,1817,1724
11,2446,0.7619982911489638,3,1817,1724
12,6025,0.7623050138010818,4,5382,5665
13,6025,0.7623050138010818,4,5382,5665
14,6025,0.7623050138010818,1,5382,5665
15,6025,0.7623050138010818,4,5382,5665
16,6025,0.7623050138010818,4,5382,5665
17,6025,0.7623050138010818,1,5382,5665
18,6025,0.7623050138010818,4,5382,5665
19,9783,0.7627532092578081,4,8876,9228
20,9783,0.7627532092578081,4,8876,9228
21,9783,0.7627532092578081,1,8876,9228
22,9783,0.7627532092578081,1,8876,9228
23,9783,0.7627532092578081,1,8876,9228
24,9783,0.7627532092578081,2,8876,9228
25,9783,0.7627532092578081,4,8876,9228
26,9783,0.7627532092578081,1,8876,9228
27,9783,0.7627532092578081,1,8876,9228
28,9783,0.7627532092578081,4,8876,9228
29,9783,0.7627532092578081,4,8876,9228
30,9783,0.7627532092578081,4,8876,9228
31,9783,0.7627532092578081,4,8876,9228
32,9783,0.7627532092578081,4,8876,9228
33,9783,0.7627532092578081,4,8876,9228
34,9783,0.7627532092578081,4,8876,9228
35,9783,0.7627532092578081,1,8876,9228
36,9783,0.7627532092578081,1,8876,9228
37,9783,0.7627532092578081,1,8876,9228
38,9783,0.7627532092578081,1,8876,9228
39,9783,0.7627532092578081,1,8876,9228
40,9783,0.7627532092578081,1,8876,9228
41,9783,0.7627532092578081,1,8876,9228
42,9783,0.7627532092578081,1,8876,9228
43,9783,0.7627532092578081,1,8876,9228
44,9783,0.7627532092578081,1,8876,9228
45,9783,0.7627532092578081,4,8876,9228
46,9783,0.7627532092578081,4,8876,9228
47,9783,0.7627532092578081,4,8876,9228
48,9783,0.7627532092578081,1,8876,9228
49,9783,0.7627532092578081,4,8876,9228
50,9783,0.7627532092578081,2,8876,9228
51,9783,0.7627532092578081,2,8876,9228
52,9783,0.7627532092578081,2,8876,9228
53,9783,0.7627532092578081,2,8876,9228
54,9783,0.7627532092578081,2,8876,9228
55,9783,0.7627532092578081,2,8876,9228
56,9783,0.7627532092578081,2,8876,9228
57,9783,0.7627532092578081,2,8876,9228
58,9783,0.7627532092578081,2,8876,9228
59,9783,0.7627532092578081,2,8876,9228
60,9783,0.7627532092578081,2,8876,9228
61,9783,0.7627532092578081,2,8876,9228
62,9783,0.7627532092578081,2,8876,9228
63,9783,0.7627532092578081,2,8876,9228
64,9783,0.7627532092578081,2,8876,9228
65,9783,0.7627532092578081,2,8876,9228
66,9783,0.7627532092578081,2,8876,9228
67,9783,0.7627532092578081,2,8876,9228
68,9783,0.7627532092578081,2,8876,9228
69,9783,0.7627532092578081,2,8876,9228
70,9783,0.7627532092578081,2,8876,9228
71,9783,0.7627532092578081,2,8876,9228
72,9783,0.7627532092578081,2,8876,9228
73,9783,0.7627532092578081,2,8876,9228
74,9783,0.7627532092578081,2,8876,9228
75,9783,0.7627532092578081,2,8876,9228
76,37611,0.7627627536648847,3,37104,37073
77,37611,0.7627627536648847,3,37104,37073
78,37611,0.7627627536648847,3,37104,37073
79,37611,0.7627627536648847,3,37104,37073
80,37611,0.7627627536648847,3,37104,37073
81,37611,0.7627627536648847,3,37104,37073
82,37611,0.7627627536648847,3,37104,37073
83,37611,0.7627627536648847,3,37104,37073
84,37611,0.7627627536648847,3,37104,37073
85,37611,0.7627627536648847,3,37104,37073
86,37611,0.7627627536648847,3,37104,37073
87,37611,0.7627627536648847,3,37104,37073
88,37611,0.7627627536648847,3,37104,37073
89,37611,0.7627627536648847,3,37104,37073
90,37611,0.7627627536648847,3,37104,37073
91,37611,0.7627627536648847,3,37104,37073
92,37611,0.7627627536648847,3,37104,37073
93,37611,0.7627627536648847,3,37104,37073
94,37611,0.7627627536648847,3,37104,37073
95,37611,0.7627627536648847,3,37104,37073
96,37611,0.7627627536648847,3,37104,37073
97,37611,0.7627627536648847,3,37104,37073
98,37611,0.7627627536648847,3,37104,37073
99,37611,0.7627627536648847,3,37104,37073
100,37611,0.7627627536648847,3,37104,37073
101,37611,0.7627627536648847,3,37104,37073
102,37611,0.7627627536648847,3,37104,37073
103,37611,0.7627627536648847,3,37104,37073
104,37611,0.7627627536648847,3,37104,37073
105,37611,0.7627627536648847,3,37104,37073
106,37611,0.7627627536648847,3,37104,37073
107,37611,0.7627627536648847,3,37104,37073
108,37611,0.7627627536648847,8,37104,37073
109,37611,0.7627627536648847,3,37104,37073
110,37611,0.7627627536648847,3,37104,37073
111,37611,0.7627627536648847,3,37104,37073
112,37611,0.7627627536648847,3,37104,37073
113,37611,0.7627627536648847,3,37104,37073
114,37611,0.7627627536648847,3,37104,37073
