step,reward,transferred_from
0,6.835826,866
1,6.967355,
2,3.102486,
3,2.355717,
4,3.479314,
5,7.015731,
6,5.321239,
7,1.774011,
8,2.974278,
9,5.01788,
10,6.699536,
11,5.342498,
12,6.491091,
13,1.651453,
14,5.632597,
15,2.315409,
16,0.9443,813
17,5.154943,
18,5.61695,
19,4.971367,
20,1.461813,
21,0.724123,
22,5.8882,
23,3.112475,
24,3.376825,
25,3.097401,
26,1.473851,
27,1.544338,
28,3.477095,
29,1.014756,
30,1.499456,
31,6.960414,830
32,8.070388,
33,7.248437,
34,8.045433,
35,3.07851,
36,3.981667,
37,5.898859,
38,5.232182,
39,3.068286,
40,6.776776,
41,3.811952,
42,3.116344,
43,3.089758,
44,2.87537,
45,4.891464,
46,3.313056,851
47,1.066831,
48,5.334034,
49,1.791758,
50,5.073348,
51,5.783024,
52,5.113244,
53,5.930206,
54,1.24156,
55,1.941231,
56,7.299955,
57,5.29296,
58,1.785807,
59,4.911766,
60,3.299167,
61,1.776067,
62,2.373,
63,1.977481,
64,2.378907,
65,2.384804,
66,2.35079,
67,1.946601,
68,2.403768,
69,3.129724,
70,1.410706,
71,2.371835,
72,8.302907,
73,5.538749,
74,3.091011,
75,3.85611,
76,2.47847,
77,4.90168,
78,5.662947,
79,5.724157,
80,3.0634,
81,5.782001,
82,3.87924,
83,3.85422,
84,3.096238,
85,3.783596,
86,4.909225,
87,5.897276,
88,5.776931,
89,5.54059,
90,5.262243,
91,3.566214,830
92,5.310952,
93,3.490286,
94,5.758826,
95,0.515734,
96,6.53791,
97,1.638387,
98,5.875709,
99,6.537583,
100,2.494533,
101,6.945733,
102,6.542661,
103,5.563625,
104,3.868857,
105,3.080115,
106,5.942064,871
107,7.332038,
108,3.094793,
109,4.280437,
110,5.4843,
111,5.098462,
112,5.732949,
113,6.030611,
114,5.707248,
115,4.473587,
116,3.011983,
117,5.110487,
118,5.910052,
119,5.662358,
120,5.182126,
121,4.048676,
122,5.79802,
123,3.953031,
124,3.11102,
125,3.088306,
126,6.874729,
127,6.506598,
128,4.806263,
129,5.297639,
130,3.093361,
131,3.111419,
132,5.178463,
133,5.619825,
134,3.116845,
135,7.420772,
136,3.112761,
137,5.722899,
138,2.928214,
139,1.382438,
140,3.440063,
141,4.161281,
142,6.831995,
143,3.358578,
144,5.341413,
145,3.922649,
146,7.038993,
147,6.72824,
148,7.027531,
149,5.807269,
150,2.696563,
151,6.68738,931
152,4.892722,
153,5.102112,
154,8.47813,
155,5.978339,
156,2.849198,
157,2.280371,
158,2.328193,
159,3.390196,
160,5.326447,
161,3.015162,
162,3.177798,
163,3.689892,
164,2.830821,
165,5.910842,
166,2.304107,
167,3.217521,
168,2.657537,
169,6.160384,
170,2.385241,
171,2.563534,
172,2.432254,
173,2.845154,
174,2.509605,
175,2.466974,
176,1.699753,
177,3.12113,
178,3.426682,
179,2.868717,
180,2.460018,
181,4.928191,927
182,3.986988,
183,3.543241,
184,1.575224,
185,1.505735,
186,0.770438,
187,0.562863,
188,5.191153,
189,2.985691,
190,3.623958,
191,6.843349,
192,5.520538,
193,3.132697,
194,5.315317,
195,5.557201,
196,5.646612,
197,4.935623,
198,2.970761,
199,5.492979,
200,7.744157,
201,3.664824,
202,5.342359,
203,0.437724,
204,3.536507,
205,5.745124,
206,5.143986,
207,6.278387,
208,3.008624,
209,6.564256,
210,5.400086,
211,5.701387,
212,5.839269,
213,5.228528,
214,4.036657,
215,5.837696,
216,5.925293,
217,3.164069,
218,9.212066,
219,5.313124,
220,5.347921,
221,4.284037,
222,5.541711,
223,3.020759,
224,5.746004,
225,4.286638,
226,5.875422,967
227,3.034896,
228,5.326037,
229,3.05381,
230,4.951438,
231,3.071953,
232,5.914907,
233,3.07523,
234,3.132539,
235,5.319931,
236,5.00696,
237,3.44087,
238,4.070331,
239,5.316858,
240,3.112968,
