step,score,transferred_from
0,8.814235,631
1,8.431421,
2,8.084219,
3,8.858802,
4,4.989009,
5,7.363774,
6,0.835232,
7,3.708558,
8,8.126279,
9,2.739006,
10,8.414199,
11,7.64265,
12,8.820833,
13,0.687393,
14,8.525564,
15,8.813647,
16,0.715833,
17,0.640901,
18,9.093803,
19,1.448013,
20,7.649786,
21,9.24091,
22,2.560509,
23,8.363953,
24,7.664229,
25,8.994176,
26,7.983605,
27,7.448751,
28,8.377107,
29,7.815986,
30,8.19172,
31,9.336123,
32,20.896423,
33,15.596786,
34,7.937586,
35,8.884609,
36,9.355381,
37,6.684063,
38,7.506418,
39,16.065515,
40,8.138122,
41,8.752272,
42,8.678666,
43,8.853799,
44,8.358358,
45,9.063963,
46,8.88641,
47,10.374963,
48,20.50278,
49,8.878071,
50,8.77994,
51,1.480709,
52,19.615681,
53,7.702558,
54,0.888128,
55,7.797476,
56,8.173569,
57,1.163417,
58,8.225511,
59,7.912612,
60,1.003163,
61,17.147756,679
62,3.547724,
63,4.813323,
64,9.434489,
65,3.806594,
66,7.126092,
67,3.788759,
68,3.584421,
69,7.898792,
70,8.171557,
71,0.975863,
72,1.207232,
73,3.835048,
74,3.19806,
75,3.77597,
76,8.591314,705
77,1.262726,
78,1.250388,
79,3.813971,
80,1.073199,
81,0.794848,
82,3.793261,
83,3.447214,
84,8.206242,
85,3.515195,
86,3.396981,
87,0.818265,
88,3.574707,
89,3.50997,
90,1.28722,
91,3.673219,738
92,3.408439,
93,0.900728,
94,3.687673,
95,0.403944,
96,3.719915,
97,6.702577,
98,3.528669,
99,3.47232,
100,9.1051,
101,3.775847,
102,1.131327,
103,3.43757,
104,3.674668,
105,3.692335,
106,11.363369,696
107,8.145461,
108,7.225713,
109,18.82298,
110,7.401353,
111,7.101115,
112,8.757186,
113,7.689531,
114,7.485488,
115,19.814644,
116,3.721464,
117,19.054568,
118,4.508706,
119,7.331962,
120,3.648634,
121,7.781471,661
122,7.624734,
123,0.80515,
124,8.049585,
125,19.023934,
126,3.223761,
127,6.55322,
128,7.98467,
129,3.87852,
130,9.060031,
131,9.202598,
132,8.72601,
133,7.902897,
134,9.55754,
135,8.63782,
136,9.050795,
137,8.637729,
138,7.316024,
139,7.680742,
140,18.569015,
141,9.317751,
142,8.844814,
143,7.24045,
144,12.861338,
145,4.341043,
146,9.191011,
147,11.48265,
148,7.104601,
149,9.866085,
150,1.495843,
151,8.880974,
152,1.304604,
153,1.59357,
154,1.224872,
155,3.736844,
156,9.04349,
157,1.425952,
158,17.704129,
159,10.114662,
160,1.281654,
161,4.320421,
162,3.66933,
163,3.428373,
164,1.475409,
165,8.783237,
166,8.235726,776
167,14.768633,
168,18.218352,
169,17.906651,
170,17.467475,
171,17.579913,
172,18.003612,
173,17.916366,
174,7.304773,
175,18.48636,
176,7.794077,
177,7.603776,
178,3.184729,
179,7.92722,
180,2.843632,
181,8.026033,752
182,7.462114,
183,7.788795,
184,7.834008,
185,7.366715,
186,3.315851,
187,18.961948,
188,8.20492,
189,16.550961,
190,17.759784,
191,18.721244,
192,0.417641,
193,16.195359,
194,6.790858,
195,7.983087,
196,16.073631,
197,7.526012,
198,13.907307,
199,17.328044,
200,13.716025,
201,8.067422,
202,3.302595,
203,7.621744,
204,18.808934,
205,3.065932,
206,8.114322,
207,6.684119,
208,4.990762,
209,8.173297,
210,7.884987,
211,7.774198,776
212,3.595704,
213,3.831506,
214,7.90774,
215,18.075222,
216,7.722687,
217,7.910686,
218,8.141147,
219,16.346292,
220,7.824299,
221,8.379965,
222,8.686846,
223,13.701816,
224,8.020718,
225,8.121252,
226,8.177777,
227,7.725133,
228,3.137136,
229,16.767157,
230,8.11056,
231,7.161046,
232,8.525372,
233,7.940171,
234,6.825721,
235,7.982892,
236,7.853319,
237,7.967528,
238,7.380212,
239,7.332556,
240,7.113572,
241,7.719623,790
242,4.963521,
243,3.712954,
244,17.794241,
245,7.335583,
246,3.692062,
247,7.293299,
248,7.47684,
249,16.035982,
250,7.273489,
251,6.398937,
252,14.278592,
253,17.123654,
254,8.035496,
255,3.616277,
256,11.609291,
257,3.514443,
258,7.796589,
259,0.957082,
260,7.947508,
261,19.588594,
262,8.098934,
263,7.846492,
264,7.165534,
265,7.979865,
266,7.740664,
267,3.584693,
268,8.112063,
269,7.911715,
270,6.381003,
271,7.802766,738
272,2.961229,
273,7.764717,
274,7.342449,
275,3.17433,
276,3.022507,
277,1.289956,
278,3.231331,
279,3.289477,
280,7.032148,
281,8.496528,
282,4.967864,
283,7.542793,
284,7.53006,
285,7.679357,
286,10.801976,
287,3.029372,
288,7.276717,
289,7.559309,
290,7.420034,
291,7.232903,
292,7.044848,
293,0.509872,
294,6.856037,
295,15.340802,
296,7.430306,
297,16.988847,
298,7.806092,
299,7.876543,
300,8.031611,
