step,score,transferred_from
0,11.021627,0
1,6.431183,
2,11.566021,
3,12.246816,
4,12.303563,
5,6.353928,
6,4.718436,
7,5.644641,
8,12.650325,
9,5.86381,
10,5.806561,
11,11.912794,
12,3.367087,
13,8.199712,
14,2.807634,
15,9.004432,
16,6.793494,
17,10.376152,
18,6.362292,
19,2.686787,
20,11.165754,
21,11.354388,
22,10.610102,
23,9.845007,
24,2.668517,
25,5.872502,
26,9.245341,
27,10.160699,
28,9.940923,
29,2.843896,
30,2.905862,
31,6.635641,16
32,12.493335,
33,6.627392,
34,11.087206,
35,10.56455,
36,8.985561,
37,11.09823,
38,11.14973,
39,12.640606,
40,11.244089,
41,11.826228,
42,9.336302,
43,12.379514,
44,5.190339,
45,5.175882,
46,12.912894,0
47,6.066566,
48,14.973074,
49,11.869628,
50,6.42347,
51,5.68607,
52,12.982083,
53,14.001509,
54,13.282357,
55,8.992891,
56,6.800594,
57,8.785383,
58,11.432221,
59,9.775485,
60,14.082213,
61,15.118123,
62,6.284308,
63,14.000517,
64,7.185065,
65,4.669677,
66,14.95585,
67,6.8794,
68,5.29121,
69,13.607087,
70,5.810073,
71,10.011576,
72,7.668898,
73,14.547925,
74,6.47028,
75,11.269591,
76,14.186273,
77,7.665541,
78,10.334772,
79,7.67927,
80,12.179285,
81,14.17567,
82,14.242264,
83,13.680037,
84,12.541913,
85,10.94809,
86,14.976724,
87,8.260023,
88,14.033285,
89,6.099357,
90,12.148988,
91,6.302572,
92,4.93904,
93,10.925344,
94,14.308227,
95,6.505803,
96,13.940435,
97,14.06562,
98,14.790431,
99,8.586183,
100,4.816315,
101,14.007925,
102,5.227255,
103,7.919441,
104,13.255997,
105,2.178194,
106,7.347471,54
107,5.982198,
108,10.035446,
109,9.061804,
110,13.53139,
111,5.842869,
112,7.233859,
113,9.29285,
114,11.763355,
115,9.482316,
116,15.477774,
117,15.141262,
118,15.342263,
119,15.288272,
120,6.348701,
121,15.066285,
122,14.847079,
123,14.665787,
124,12.67965,
125,12.807241,
126,15.280214,
127,12.138577,
