step,score,transferred_from
0,10.723717,284
1,10.147793,
2,11.303454,
3,13.793391,
4,17.603732,
5,11.270395,
6,11.250877,
7,5.000901,
8,11.834975,
9,4.093682,
10,11.559664,
11,11.78292,
12,11.545583,
13,11.665828,
14,4.69007,
15,12.364142,
16,19.464659,
17,1.763728,
18,9.263957,
19,11.243425,
20,11.685238,
21,10.481259,
22,11.152225,
23,11.851509,
24,11.126651,
25,4.718802,
26,11.865775,
27,10.693916,
28,4.674211,
29,19.937154,
30,9.932667,
31,4.504928,
32,12.615903,
33,3.025193,
34,8.501794,
35,12.613593,
36,11.944125,
37,11.795953,
38,3.0742,
39,9.783903,
40,11.423073,
41,8.329732,
42,11.506051,
43,11.567064,
44,3.375437,
45,12.245094,
46,9.355096,350
47,13.506264,
48,4.60696,
49,11.355692,
50,11.948685,
51,9.73327,
52,4.345403,
53,5.065257,
54,11.675981,
55,10.514701,
56,12.694758,
57,12.757359,
58,8.040115,
59,3.584205,
60,3.932554,
61,11.517503,340
62,11.388697,
63,4.884379,
64,11.54666,
65,11.155178,
66,11.592025,
67,11.031623,
68,10.736621,
69,11.393132,
70,11.560399,
71,11.519437,
72,11.276559,
73,12.434446,
74,12.357755,
75,11.873802,
76,12.25193,313
77,12.757368,
78,12.178728,
79,12.272009,
80,8.69317,
81,12.830161,
82,12.336691,
83,1.883307,
84,1.858792,
85,4.57204,
86,10.698873,
87,5.049891,
88,4.754841,
89,11.582229,
90,5.095063,
91,4.685164,
92,1.929218,
93,-1.122695,
94,1.745145,
95,11.802879,
96,12.708828,
97,11.455883,
98,-1.57218,
99,12.349375,
100,12.889984,
101,12.731424,
102,12.337374,
103,11.637444,
104,11.66367,
105,12.006037,
106,10.892661,
107,12.538886,
108,11.538845,
109,12.85751,
110,12.438389,
111,12.790456,
112,11.886157,
113,14.579079,
114,11.565124,
115,11.369374,
116,4.876971,
117,3.388008,
118,5.185157,
119,10.836374,
120,11.746189,
121,12.257565,
122,4.624019,
123,12.569411,
124,3.760082,
125,11.288593,
126,12.222523,
127,12.139202,
128,12.292163,
129,13.142208,
130,4.748159,
131,12.746526,
132,13.859003,
133,11.120756,
134,12.262368,
135,12.52988,
136,4.803438,
137,12.620855,
138,12.396783,
139,5.035478,
140,11.646543,
141,12.541568,
142,5.173891,
143,11.779477,
144,15.494282,
145,11.844575,
146,12.156595,
147,5.086902,
148,4.839207,
149,9.265088,
150,4.880247,
151,1.980694,418
152,12.79216,
153,13.219114,
154,13.197961,
155,12.779466,
156,3.997017,
157,4.642958,
158,3.828037,
159,3.876374,
160,4.277759,
161,4.347613,
162,4.015018,
163,4.41588,
164,4.374944,
165,4.795789,
166,12.758114,423
167,12.067308,
168,10.597636,
169,4.539324,
170,11.902271,
171,4.864099,
172,10.314038,
173,10.208412,
174,2.110193,
175,12.294987,
176,3.47039,
177,1.76373,
178,12.54958,
179,12.056554,
180,12.193485,
181,11.352237,399
182,8.033057,
183,11.730042,
184,4.406048,
185,4.7677,
186,4.993573,
187,12.847854,
188,4.42608,
189,5.102937,
190,12.218499,
191,8.629962,
192,3.791181,
193,4.70427,
194,4.263761,
195,11.606638,
196,12.78356,
197,2.011128,
198,7.345657,
199,9.586845,
200,4.422731,
201,3.003437,
202,12.991248,
203,5.132422,
204,4.212561,
205,12.765131,
206,4.518231,
207,8.008619,
208,10.229831,
209,5.651234,
210,4.298314,
211,11.002852,350
212,12.099381,
213,4.09059,
214,11.307786,
215,12.266929,
216,10.838143,
217,4.665833,
218,11.359351,
219,10.721637,
220,12.020028,
221,12.220213,
222,12.79092,
223,11.933445,
224,2.544317,
225,4.420259,
226,3.414619,423
227,-0.217745,
228,2.555428,
229,2.371022,
230,1.666325,
231,2.336602,
232,2.663155,
233,4.980577,
234,4.471516,
235,3.893334,
236,4.504469,
237,3.716723,
238,3.50858,
239,1.715371,
240,3.990238,
241,3.90022,399
242,-1.052953,
243,4.861588,
244,3.965858,
245,13.117399,
246,-0.813858,
247,12.770486,
248,12.370935,
249,10.26476,
250,4.473856,
251,13.760831,
252,4.490437,
253,4.316202,
254,4.057511,
255,2.563789,
256,6.91582,362
257,2.654444,
258,-0.439309,
259,2.091709,
260,14.573445,
261,7.532436,
262,2.359171,
263,-0.534012,
264,10.960515,
265,5.965328,
266,2.464333,
267,0.039285,
268,10.665296,
269,11.258555,
270,5.385563,
271,2.946105,437
272,4.172313,
273,12.48109,
274,12.26402,
275,10.178264,
276,3.249478,
277,3.112987,
278,4.082712,
279,12.172854,
280,3.103671,
281,8.245195,
282,11.38093,
283,10.727371,
284,12.284286,
285,11.497058,
286,10.972616,
287,10.820606,
288,11.047547,
289,2.800225,
290,12.077522,
291,2.908933,
292,9.406266,
293,12.488104,
294,11.485686,
295,11.156295,
296,10.557191,
297,4.483804,
298,12.347135,
299,4.737079,
300,4.579252,
