generation,id,fitness,species,parent1,parent2
0,1,1.504717,1,-1,-1
0,2,1.503055,1,-1,-1
0,3,1.527954,1,-1,-1
0,4,1.502448,1,-1,-1
1,5,1.533185,1,3,1
1,6,2.40948,1,1,3
1,7,1.508118,1,1,3
1,8,0.051865,1,3,1
2,9,1.586777,1,5,5
2,10,1.51409,1,6,5
2,11,1.534987,1,6,5
2,12,1.531954,1,5,6
3,13,1.53459,1,9,9
3,14,1.516646,1,11,11
3,15,1.532579,1,11,11
3,16,1.496944,1,11,9
4,17,1.526134,1,15,15
4,18,1.528922,1,15,13
4,19,1.509041,1,15,13
4,20,1.54024,1,15,15
5,21,1.558167,1,20,18
5,22,1.51769,1,18,18
5,23,1.58389,1,18,18
5,24,1.567672,1,18,20
6,25,1.545158,1,24,23
6,26,1.573773,1,23,24
6,27,1.489969,1,23,24
6,28,1.563034,1,23,23
7,29,1.572683,1,26,26
7,30,1.593969,1,26,28
7,31,1.56662,1,26,28
7,32,1.508148,1,28,28
8,33,1.551328,1,29,30
8,34,1.555133,1,29,29
8,35,1.486745,1,30,29
8,36,1.520643,1,29,30
9,37,1.548055,1,33,33
9,38,1.556387,1,34,33
9,39,1.594403,1,34,34
9,40,1.571669,1,34,33
10,41,1.558865,1,40,40
10,42,1.564463,1,40,39
10,43,1.549591,1,40,40
10,44,1.559012,1,40,40
11,45,1.511923,1,44,44
11,46,1.554067,1,44,42
11,47,1.54174,1,42,44
11,48,1.524211,1,44,42
12,49,1.549864,1,47,47
12,50,1.518807,1,47,47
12,51,1.554491,1,46,46
12,52,1.507664,1,46,47
13,53,1.551299,1,49,49
13,54,1.492179,1,49,51
13,55,1.555159,1,49,49
13,56,1.556731,1,49,49
14,57,1.504582,1,55,56
14,58,1.539957,1,55,56
14,59,1.544347,1,55,56
14,60,1.544132,1,55,56
15,61,1.566147,1,59,60
15,62,1.547844,1,59,59
15,63,1.495662,1,60,59
15,64,1.518367,1,59,59
16,65,1.519663,1,61,62
16,66,1.505275,1,61,62
16,67,1.527706,1,61,62
16,68,1.506865,1,61,61
17,69,1.572046,1,67,67
17,70,1.494373,1,65,67
17,71,1.501602,1,67,65
17,72,1.558673,1,67,65
18,73,1.568899,1,69,69
18,74,1.170373,1,69,69
18,75,1.559165,1,69,69
18,76,1.520116,1,72,72
19,77,1.541164,1,75,75
19,78,1.536797,1,73,73
19,79,1.560659,1,73,73
19,80,1.507466,1,73,73
