step,score,transferred_from
0,12.865645,655
1,13.662635,
2,10.320703,
3,14.409691,
4,12.831331,
5,12.52204,
6,13.988894,
7,13.13181,
8,14.090021,
9,12.989643,
10,12.947495,
11,14.056529,
12,13.849498,
13,13.766644,
14,13.942709,
15,13.53709,
16,13.432407,655
17,14.538497,
18,13.749573,
19,14.896103,
20,14.084573,
21,12.735362,
22,14.01999,
23,13.806244,
24,13.228154,
25,13.7572,
26,13.660544,
27,13.110645,
28,13.618879,
29,13.469023,
30,12.767771,
31,13.658894,655
32,13.9602,
33,14.650318,
34,14.426946,
35,13.422278,
36,13.979432,
37,13.904164,
38,15.73488,
39,13.888891,
40,13.617359,
41,13.796143,
42,13.537536,
43,12.730612,
44,13.37327,
45,15.445322,
46,12.857062,
47,13.9622,
48,13.456981,
49,13.507733,
50,13.807385,
51,13.206486,
52,12.869448,
53,13.375445,
54,13.727113,
55,13.561396,
56,13.166684,
57,14.72535,
58,14.550196,
59,15.992915,
60,13.568842,
61,14.688818,
62,13.610269,
63,14.79286,
64,18.063848,
65,13.150253,
66,13.127194,
67,13.682812,
68,13.454411,
69,13.43757,
70,13.417898,
71,13.354895,
72,14.897245,
73,15.448532,
74,13.429804,
75,14.168647,
76,1.923082,
77,13.791992,
78,1.911149,
79,1.891571,
80,13.911039,
81,13.533511,
82,14.064264,
83,1.55484,
84,13.32624,
85,12.861647,
86,1.503334,
87,1.752884,
88,13.530901,
89,11.983793,
90,13.21608,
91,11.888296,696
92,16.687741,
93,17.308955,
94,11.889791,
95,12.818641,
96,-1.610094,
97,14.751224,
98,13.082862,
99,12.948824,
100,13.659344,
101,12.11991,
102,12.355419,
103,11.924714,
104,12.484954,
105,-1.538196,
106,19.358176,738
107,16.763124,
108,15.410523,
109,15.065043,
110,15.54529,
111,15.384336,
112,14.130456,
113,13.989867,
114,13.505636,
115,1.647258,
116,18.424888,
117,13.619979,
118,15.876847,
119,13.524337,
120,13.706331,
121,13.29056,
122,13.675507,
123,14.474831,
124,14.009131,
125,14.189405,
126,14.015675,
127,13.786009,
128,13.750296,
129,14.815818,
130,14.866734,
131,13.922723,
132,13.738674,
133,14.732752,
134,13.516226,
135,13.056246,
136,13.558956,
137,14.36099,
138,13.489496,
139,14.44905,
140,13.832016,
141,13.897068,
142,13.960348,
143,14.691547,
144,13.745292,
145,13.653203,
146,18.728143,
147,13.628342,
148,13.672969,
149,13.508179,
150,14.113172,
151,1.819795,
152,13.687408,
153,1.819549,
154,1.712088,
155,1.476486,
156,1.499516,
157,-1.364683,
158,1.865555,
159,1.489254,
160,1.850855,
161,1.47154,
162,1.891349,
163,1.607323,
164,12.043253,
165,1.503825,
166,12.696224,696
167,13.706964,
168,12.41729,
169,13.132687,
170,8.561751,
171,12.32834,
172,8.977792,
173,11.115005,
174,11.914345,
175,11.90044,
176,12.742036,
177,10.868078,
178,11.869574,
179,12.530062,
180,12.041061,
181,12.647352,763
182,11.207021,
183,13.774903,
184,14.364416,
185,12.189934,
186,13.096814,
187,12.438977,
188,12.858119,
189,13.002326,
190,12.67429,
191,13.091037,
192,12.832008,
193,14.823063,
194,12.209644,
195,12.985053,
196,12.765901,
197,13.094859,
198,13.813773,
199,12.736702,
200,12.043083,
201,13.085128,
202,17.719873,
203,12.089994,
204,12.527928,
205,14.802619,
206,12.931193,
207,11.485993,
208,11.903807,
209,12.134556,
210,12.571376,
211,11.375073,
212,12.267867,
213,12.114893,
214,12.748983,
215,12.679063,
216,12.816395,
217,13.318821,
218,12.452421,
219,12.988981,
220,12.005954,
221,12.749105,
222,13.22922,
223,11.602697,
224,12.392985,
225,17.558105,
226,14.047089,
227,13.440151,
228,12.847314,
229,12.755367,
230,12.315288,
231,12.520836,
232,13.075494,
233,11.857007,
234,13.576983,
235,14.105209,
236,11.788459,
237,12.149778,
238,11.407033,
239,11.836952,
240,12.173713,
241,12.602619,705
242,-1.403644,
243,11.739937,
244,12.02018,
245,16.488063,
246,8.79846,
247,12.704055,
248,11.949051,
249,11.695482,
250,11.208377,
251,12.260076,
252,12.961363,
253,12.169708,
254,11.958186,
255,12.100206,
256,12.73294,
257,11.925963,
258,1.553995,
259,12.020215,
260,11.656392,
261,2.513641,
262,12.372852,
263,3.01642,
264,1.432841,
265,11.652824,
266,3.130374,
267,12.269879,
268,12.325586,
269,12.604372,
270,11.988019,
271,12.037097,
272,12.192805,
273,12.73446,
274,13.974282,
275,12.863433,
276,17.531565,
277,11.72956,
278,12.416157,
279,12.595428,
280,11.672736,
281,12.808193,
282,11.370049,
283,12.663704,
284,11.890721,
285,11.774815,
286,12.608749,744
287,12.749464,
288,12.152297,
289,12.92886,
290,11.960006,
291,11.770322,
292,13.021074,
293,12.81178,
294,12.827945,
295,11.744363,
296,12.78947,
297,11.955134,
298,11.520115,
299,11.020479,
300,12.304461,
