generation,id,fitness,species,parent1,parent2
156,11227,5.242261,7,5011,5011
157,11227,5.242261,7,5011,5011
158,11227,5.242261,7,5011,5011
159,11227,5.242261,7,5011,5011
160,11227,5.242261,7,5011,5011
161,11227,5.242261,7,5011,5011
162,11227,5.242261,7,5011,5011
163,11227,5.242261,7,5011,5011
164,11227,5.242261,7,5011,5011
165,11227,5.242261,7,5011,5011
166,11227,5.242261,7,5011,5011
167,11227,5.242261,7,5011,5011
168,11227,5.242261,7,5011,5011
169,11227,5.242261,7,5011,5011
170,30501,5.920997,6,26897,26897
171,30501,5.920997,6,26897,26897
172,30501,5.920997,6,26897,26897
173,30501,5.920997,6,26897,26897
174,30501,5.920997,6,26897,26897
175,30501,5.920997,6,26897,26897
176,30501,5.920997,6,26897,26897
177,30501,5.920997,6,26897,26897
178,30501,5.920997,6,26897,26897
179,30501,5.920997,6,26897,26897
180,30501,5.920997,6,26897,26897
181,30501,5.920997,6,26897,26897
182,30501,5.920997,6,26897,26897
183,30501,5.920997,6,26897,26897
184,30501,5.920997,6,26897,26897
185,30501,5.920997,6,26897,26897
186,30501,5.920997,6,26897,26897
187,30501,5.920997,6,26897,26897
188,30501,5.920997,6,26897,26897
189,30501,5.920997,6,26897,26897
190,30501,5.920997,6,26897,26897
191,30501,5.920997,6,26897,26897
192,30501,5.920997,6,26897,26897
193,30501,5.920997,6,26897,26897
194,30501,5.920997,6,26897,26897
195,30501,5.920997,6,26897,26897
196,30501,5.920997,6,26897,26897
197,30501,5.920997,6,26897,26897
198,30501,5.920997,6,26897,26897
199,30501,5.920997,6,26897,26897
200,30501,5.920997,6,26897,26897
201,30501,5.920997,6,26897,26897
202,30501,5.920997,6,26897,26897
203,30501,5.920997,6,26897,26897
204,30501,5.920997,6,26897,26897
205,30501,5.920997,6,26897,26897
206,30501,5.920997,6,26897,26897
207,30501,5.920997,6,26897,26897
208,30501,5.920997,6,26897,26897
209,30501,5.920997,6,26897,26897
210,30501,5.920997,6,26897,26897
211,30501,5.920997,6,26897,26897
212,30501,5.920997,6,26897,26897
213,30501,5.920997,6,26897,26897
214,30501,5.920997,6,26897,26897
215,30501,5.920997,6,26897,26897
216,30501,5.920997,6,26897,26897
217,30501,5.920997,6,26897,26897
218,30501,5.920997,6,26897,26897
219,30501,5.920997,6,26897,26897
220,30501,5.920997,6,26897,26897
221,30501,5.920997,6,26897,26897
222,30501,5.920997,6,26897,26897
223,30501,5.920997,6,26897,26897
224,40524,6.067949,5,40306,40340
225,40524,6.067949,5,40306,40340
226,40524,6.067949,5,40306,40340
227,40524,6.067949,5,40306,40340
228,40524,6.067949,5,40306,40340
229,40524,6.067949,5,40306,40340
