step,reward,transferred_from
0,1.987717,686
1,1.942862,
2,-1.657352,
3,1.934472,
4,-1.622544,
5,1.972836,
6,-1.643302,
7,7.325918,
8,-1.684743,
9,-1.593087,
10,1.463721,
11,1.714847,
12,1.748023,
13,1.914103,
14,1.964613,
15,1.893745,
16,-1.576059,686
17,-1.63253,
18,1.927343,
19,1.779693,
20,1.923322,
21,1.807124,
22,1.746724,
23,1.678542,
24,2.093414,
25,1.429038,
26,1.962991,
27,1.674378,
28,1.87058,
29,-1.660308,
30,1.844493,
31,1.940799,743
32,10.175687,
33,8.506374,
34,1.606678,
35,9.70446,
36,8.76631,
37,1.630789,
38,13.981878,
39,12.656572,
40,12.839175,
41,1.732182,
42,1.885365,
43,9.649157,
44,2.085486,
45,6.863335,
46,12.333808,
47,12.151594,
48,9.370647,
49,8.429232,
50,1.6131,
51,1.854124,
52,1.91863,
53,4.909376,
54,2.084487,
55,1.875857,
56,1.816348,
57,1.566863,
58,1.996685,
59,1.801398,
60,1.813543,
61,1.958678,686
62,1.681285,
63,1.780336,
64,1.861827,
65,1.941947,
66,1.865041,
67,1.816539,
68,-1.604237,
69,10.117378,
70,1.838329,
71,5.147283,
72,9.629055,
73,1.707495,
74,2.084227,
75,9.86008,
76,2.061342,
77,9.970257,
78,1.937829,
79,1.469351,
80,1.982926,
81,1.740714,
82,3.957027,
83,1.96585,
84,1.734727,
85,1.898978,
86,6.991462,
87,1.810362,
88,1.953072,
89,-1.609463,
90,1.708535,
91,2.121435,743
92,1.757204,
93,1.722162,
94,1.575603,
95,2.011118,
96,9.554012,
97,1.877953,
98,-1.623665,
99,1.930272,
100,1.68395,
101,1.72535,
102,13.332946,
103,1.809947,
104,1.766001,
105,1.787761,
106,1.952497,
107,5.250953,
108,1.918614,
109,1.984809,
110,1.506148,
111,1.815251,
112,13.080522,
113,1.806238,
114,2.103687,
115,1.811565,
116,1.687475,
117,1.624782,
118,12.437813,
119,9.134914,
120,1.63098,
121,8.843924,
122,8.850461,
123,-1.65945,
124,9.404407,
125,1.88097,
126,6.771038,
127,8.095624,
128,5.283207,
129,11.149515,
130,5.811495,
131,1.359717,
132,3.65966,
133,5.970161,
134,-1.696324,
135,1.746533,
136,9.02439,
137,1.765425,
138,1.906129,
139,8.616778,
140,6.373357,
141,4.965834,
142,1.885749,
143,11.596142,
144,1.850227,
145,1.995509,
146,11.043846,
147,1.931935,
148,8.801754,
149,12.818181,
150,4.80095,
151,1.680439,
152,1.985086,
153,1.658516,
154,6.973493,
155,1.922279,
156,2.053018,
157,1.951253,
158,6.170154,
159,4.84795,
160,1.823475,
161,1.852514,
162,1.863206,
163,13.043055,
164,1.746451,
165,5.34088,
166,1.720746,
167,1.980402,
168,9.883541,
169,8.122925,
170,7.441037,
171,1.534397,
172,11.525771,
173,9.628204,
174,1.669187,
175,2.105835,
176,10.641177,
177,1.782873,
178,12.449687,
179,4.354738,
180,1.907083,
181,12.799471,
182,1.778263,
183,7.032816,
184,9.451213,
185,7.583168,
186,1.978282,
187,1.81717,
188,1.794207,
189,1.658469,
190,1.870069,
191,1.70667,
192,1.769609,
193,1.874807,
194,9.822616,
195,9.666577,
196,6.487813,
197,1.874518,
198,1.771927,
199,6.574757,
200,13.989682,
201,1.930684,
202,1.779967,
203,10.052601,
204,2.026687,
205,2.017763,
206,1.778234,
207,5.149255,
208,1.721426,
209,9.405572,
210,6.368054,
211,1.80156,
212,6.956523,
213,1.523004,
214,1.720689,
215,1.525365,
216,10.999447,
217,11.63435,
218,1.599584,
219,8.388286,
220,1.961291,
221,8.443229,
222,1.843827,
223,8.547365,
224,10.137017,
225,1.762358,
226,8.119641,
227,1.760719,
228,1.722044,
229,1.731177,
230,6.784769,
231,1.784945,
232,10.760148,
233,1.810667,
234,8.776085,
235,1.957406,
236,1.842897,
237,10.744555,
238,1.697474,
239,10.253809,
240,4.213627,
241,6.430368,
242,9.860729,
243,11.818353,
244,13.129431,
245,1.749836,
246,8.626373,
247,1.659017,
248,8.482521,
249,11.979988,
250,13.854551,
251,5.031049,
252,4.841796,
253,8.654172,
254,7.752142,
255,10.926468,
256,8.137633,
257,10.84805,
258,9.363929,
259,1.594298,
260,6.170781,
261,2.073781,
262,11.895212,
263,1.961869,
264,11.005354,
265,6.150791,
266,6.893723,
267,2.249549,
268,1.743717,
269,4.753109,
270,2.033791,
271,6.217467,
272,7.755141,
273,5.587997,
274,9.487177,
275,9.251764,
276,1.934409,
277,9.018707,
278,2.035903,
279,1.738027,
280,6.126461,
281,5.846089,
282,9.502383,
283,7.78914,
284,13.013921,
285,1.99487,
286,1.724432,
287,10.316662,
288,10.599749,
289,1.753428,
290,1.962225,
291,9.981377,
292,10.027309,
293,9.338432,
294,1.688434,
295,2.003963,
296,2.025769,
297,9.777464,
298,9.288622,
299,9.56993,
300,1.505289,
