step,reward,transferred_from
0,6.871538,191
1,3.237953,
2,7.682125,
3,4.870366,
4,8.221005,
5,2.888604,
6,2.974589,
7,3.235649,
8,3.27768,
9,7.236686,
10,8.377296,
11,8.301954,
12,3.31388,
13,4.638012,
14,1.682012,
15,5.453965,
16,5.999132,
17,0.882552,
18,1.232298,
19,8.918076,
20,3.202328,
21,8.019775,
22,5.405002,
23,4.246876,
24,9.675775,
25,2.157361,
26,6.304903,
27,9.380357,
28,7.594335,
29,4.347187,
30,6.826313,
31,9.66555,
32,2.144112,
33,1.955294,
34,2.018814,
35,1.945701,
36,4.487665,
37,9.663657,
38,4.293208,
39,4.413246,
40,3.200148,
41,4.753371,
42,0.991918,
43,6.719999,
44,6.590728,
45,4.316125,
46,9.67041,203
47,4.079075,
48,1.713481,
49,6.283045,
50,5.045191,
51,3.434905,
52,5.931329,
53,3.42986,
54,2.079589,
55,4.89689,
56,6.023953,
57,4.333866,
58,6.059642,
59,6.615866,
60,5.889195,
61,-2.668063,
62,9.665647,
63,-1.772576,
64,9.665055,
65,1.00029,
66,4.912723,
67,7.484261,
68,0.882602,
69,4.597051,
70,0.882605,
71,4.91427,
72,4.193124,
73,4.717409,
74,6.465446,
75,3.193155,
76,4.533497,141
77,9.673898,
78,4.814753,
79,4.84505,
80,4.794085,
81,4.451772,
82,5.340162,
83,4.60665,
84,4.749134,
85,4.744139,
86,3.23608,
87,4.739189,
88,4.651774,
89,3.192233,
90,5.688685,
91,9.671056,
92,4.538084,
93,1.784601,
94,3.141923,
95,1.787414,
96,1.720768,
97,1.912258,
98,4.24224,
99,1.910255,
100,1.991935,
101,9.691611,
102,6.831132,
103,6.191364,
104,1.937183,
105,2.161893,
106,1.943419,
107,1.856048,
108,8.117035,
109,4.561616,
110,4.710485,
111,5.665638,
112,5.482751,
113,5.68914,
114,4.494519,
115,1.991669,
116,4.40338,
117,1.929238,
118,5.334721,
119,1.791807,
120,1.738302,
121,9.679399,203
122,4.342321,
123,2.052914,
124,2.060113,
125,1.845097,
126,1.986168,
127,2.489633,
128,9.666072,
129,8.099262,
130,4.801789,
131,5.298898,
132,1.936112,
133,1.969459,
134,2.125459,
135,8.263517,
136,4.16739,
137,9.677805,
138,9.679279,
139,6.154894,
140,4.939821,
141,4.897774,
142,5.067462,
143,5.006921,
144,8.738574,
145,8.650016,
146,4.923456,
147,5.322508,
148,5.068727,
149,3.386037,
150,4.68936,
151,3.409602,
152,4.69238,
153,8.990649,
154,8.593128,
155,3.413666,
156,4.769969,
157,5.078991,
158,3.222531,
159,4.691575,
160,4.881966,
161,7.42491,
162,4.764294,
163,2.20995,
164,2.260742,
165,2.135347,
166,9.683681,191
167,9.683189,
168,4.426224,
169,0.345595,
170,4.343961,
171,6.645065,
172,8.121396,
173,4.775812,
174,5.107111,
175,3.147439,
176,5.228876,
177,4.672939,
178,4.917628,
179,3.146898,
180,0.297442,
181,6.470815,190
182,6.418853,
183,4.694038,
184,0.785002,
185,4.364143,
186,4.889413,
187,9.685754,
188,4.534219,
189,6.659695,
190,9.685977,
191,9.675808,
192,4.307985,
193,9.684785,
194,9.672025,
195,4.129017,
196,6.328407,
197,0.829092,
198,4.3824,
199,4.333225,
200,4.629867,
201,6.773012,
202,4.919452,
203,5.378712,
204,3.4855,
205,3.149817,
206,7.04636,
207,8.072458,
208,6.702433,
209,4.647046,
210,3.416732,
211,5.294394,273
212,9.677261,
213,5.247209,
214,9.664512,
215,9.66927,
216,9.009602,
217,4.464741,
218,7.294623,
219,9.662192,
220,9.671393,
221,9.67675,
222,8.374934,
223,1.98339,
224,0.131365,
225,7.914805,
226,7.179299,203
227,6.803868,
228,6.946482,
229,4.505822,
230,4.601459,
231,4.288898,
232,4.495632,
233,0.783252,
234,4.460838,
235,4.437821,
236,4.770493,
237,4.549159,
238,4.451958,
239,4.497617,
240,4.531689,
241,3.19832,
242,4.359766,
243,5.028782,
244,3.584607,
245,3.433986,
246,5.406527,
247,4.705352,
248,4.845134,
249,4.462632,
250,9.673358,
251,3.137483,
252,7.606995,
253,4.747115,
254,7.636905,
255,4.590087,
256,4.520581,232
257,4.557283,
258,4.459429,
259,4.681091,
260,4.900034,
261,4.715973,
262,4.83712,
263,5.15132,
264,5.836554,
265,4.495862,
266,4.063902,
267,4.990795,
268,7.005481,
269,4.264239,
270,4.842822,
271,7.967727,273
272,5.375744,
273,9.672072,
274,7.224087,
275,9.673486,
276,9.677953,
277,7.589644,
278,9.624249,
279,4.498818,
280,7.109974,
281,8.965211,
282,9.664795,
283,9.670102,
284,8.07263,
285,4.622245,
286,7.050385,
287,9.681612,
288,5.961266,
289,8.027711,
290,4.937072,
291,9.501404,
292,6.000129,
293,6.936646,
294,9.677674,
295,6.828138,
296,5.241739,
297,5.507606,
298,5.254671,
299,9.405481,
300,4.721991,
