step,score,transferred_from
0,6.335907,399
1,3.651308,
2,4.829572,
3,4.199663,
4,3.663928,
5,2.358449,
6,3.597647,
7,4.12374,
8,3.242146,
9,7.45036,
10,4.018353,
11,2.351937,
12,2.867902,
13,7.562806,
14,6.30774,
15,4.608928,
16,7.085748,
17,11.0141,
18,3.140333,
19,3.27305,
20,3.639189,
21,7.494126,
22,8.22798,
23,3.360771,
24,2.574111,
25,3.806654,
26,3.334797,
27,4.082437,
28,4.710764,
29,3.038902,
30,3.452939,
31,3.532338,399
32,3.97921,
33,3.232428,
34,3.715329,
35,4.144293,
36,4.024108,
37,4.692176,
38,2.639571,
39,3.490552,
40,4.008433,
41,6.910437,
42,6.747659,
43,3.594633,
44,4.285647,
45,3.712942,
46,2.588445,
47,1.902433,
48,3.336816,
49,3.798716,
50,2.847535,
51,1.896006,
52,1.726542,
53,3.549648,
54,0.6339,
55,4.400196,
56,2.031548,
57,4.159369,
58,2.842708,
59,4.010911,
60,13.648845,
61,3.313735,
62,3.091708,
63,1.621367,
64,3.091284,
65,2.299708,
66,1.770398,
67,2.795279,
68,2.816847,
69,2.309802,
70,2.712386,
71,3.120455,
72,3.433989,
73,3.358549,
74,1.733389,
75,5.091562,
76,3.64878,
77,2.186987,
78,2.119277,
79,3.300801,
80,3.334245,
81,0.619337,
82,3.610308,
83,10.599126,
84,3.306691,
85,2.09718,
86,2.279157,
87,3.171616,
88,1.71386,
89,6.418954,
90,3.61542,
91,4.483791,410
92,3.04839,
93,7.314161,
94,7.364103,
95,7.210146,
96,7.182217,
97,4.68765,
98,3.068805,
99,3.201193,
100,3.8807,
101,2.429438,
102,1.41974,
103,5.878536,
104,2.976307,
105,2.683019,
106,7.144287,380
107,3.362164,
108,13.642528,
109,4.242988,
110,7.675672,
111,6.723768,
112,7.691753,
113,4.010105,
114,13.28716,
115,6.896552,
116,8.123535,
117,3.856811,
118,4.161477,
119,2.464417,
120,6.364235,
121,3.626685,
122,3.559574,
123,3.256112,
124,3.225315,
125,3.143102,
126,3.290431,
127,3.028665,
128,4.555245,
129,3.822885,
130,4.362823,
131,6.469087,
132,3.131443,
133,3.718741,
134,4.753105,
135,6.230256,
136,1.839473,
137,8.002586,
138,4.831331,
139,6.662674,
140,6.957899,
141,4.787089,
142,4.577895,
143,3.366276,
144,6.857825,
145,4.046345,
146,4.13689,
147,4.769917,
148,3.554032,
149,4.291877,
150,2.178373,
151,4.921197,445
152,9.143258,
153,4.968772,
154,5.685165,
155,3.830993,
156,5.273088,
157,4.921603,
158,2.635444,
159,1.663774,
160,3.853651,
161,4.126152,
162,9.736485,
163,4.440113,
164,4.962227,
165,3.621409,
166,5.833421,
167,4.583284,
168,4.146622,
169,4.604655,
170,3.101542,
171,3.573938,
172,4.606078,
173,4.529045,
174,2.863163,
175,4.65261,
176,2.960838,
177,2.951086,
178,2.902755,
179,2.879905,
180,3.975876,
181,4.770092,455
182,4.541501,
183,3.364923,
184,2.609803,
185,4.460847,
186,4.264687,
187,2.595658,
188,4.180925,
189,6.846082,
190,3.223676,
191,1.513656,
192,1.991169,
193,5.159679,
194,3.831482,
195,4.772021,
196,3.919376,
197,3.753642,
198,1.0496,
199,1.447434,
200,0.873451,
201,4.98043,
202,6.06895,
203,3.283839,
204,4.885983,
205,3.71446,
206,4.657892,
207,3.86704,
208,1.616026,
209,4.463227,
210,2.61601,
211,3.307637,418
212,1.435392,
213,2.294078,
214,2.64741,
215,4.211644,
216,5.027248,
217,4.93547,
218,1.864467,
219,20.959467,
220,2.943118,
221,8.385654,
222,4.480094,
223,7.122425,
224,3.604914,
225,1.900136,
226,6.851572,
227,3.320071,
228,3.37121,
229,4.769908,
230,5.782627,
231,2.332581,
232,3.099301,
233,1.282679,
234,3.426247,
235,2.745541,
236,3.593234,
237,1.557389,
238,2.560367,
239,1.936399,
240,3.875177,
241,4.686227,445
242,2.892904,
243,2.300315,
244,12.700891,
245,3.971241,
246,3.733871,
247,2.945996,
248,3.67255,
249,7.057762,
250,5.996899,
251,4.682188,
252,4.132076,
253,3.911924,
254,3.709474,
255,3.317562,
256,6.73184,471
257,2.160409,
258,3.409641,
259,1.747627,
260,1.786673,
261,6.393327,
262,2.209018,
263,0.713206,
264,1.537941,
265,1.766877,
266,6.339032,
267,1.488715,
268,2.038342,
269,3.779735,
270,4.239859,
271,6.163419,509
272,3.910894,
273,6.341897,
274,3.515382,
275,3.209764,
276,5.850096,
277,3.638258,
278,3.977315,
279,2.849394,
280,7.250653,
281,3.772446,
282,3.498269,
283,3.290499,
284,2.824008,
285,3.095209,
286,7.11154,471
287,2.595936,
288,6.180978,
289,4.699665,
290,2.645368,
291,1.065827,
292,2.923408,
293,4.488422,
294,2.891972,
295,3.320154,
296,3.808474,
297,3.550163,
298,13.328369,
299,17.013355,
300,3.531492,
