step,reward,transferred_from
0,7.979415,398
1,6.151785,
2,5.245155,
3,5.915642,
4,6.580959,
5,1.765905,
6,7.348875,
7,5.493306,
8,2.129535,
9,6.235331,
10,5.70684,
11,2.683603,
12,2.652956,
13,2.708149,
14,2.687602,
15,2.664191,
16,5.729507,401
17,5.556888,
18,5.641026,
19,2.657974,
20,3.07425,
21,5.40924,
22,6.113583,
23,2.878354,
24,9.668122,
25,6.222199,
26,5.207744,
27,2.983064,
28,5.67972,
29,7.820956,
30,3.191993,
31,6.651235,444
32,6.276009,
33,6.002972,
34,5.338565,
35,1.91172,
36,1.15831,
37,5.397945,
38,5.905499,
39,1.736124,
40,6.339623,
41,2.433989,
42,5.634017,
43,2.626274,
44,4.815217,
45,2.735641,
46,7.5547,474
47,2.658954,
48,-0.274221,
49,5.616311,
50,9.571069,
51,9.659655,
52,2.522751,
53,9.682704,
54,2.445411,
55,3.356777,
56,1.727137,
57,2.642461,
58,2.380413,
59,2.488818,
60,2.392238,
61,2.771588,454
62,7.537505,
63,3.149603,
64,2.700509,
65,2.67362,
66,2.944286,
67,2.68566,
68,5.898682,
69,4.219081,
70,4.801577,
71,6.125865,
72,5.763331,
73,5.083064,
74,4.212407,
75,5.706262,
76,0.768787,454
77,5.161534,
78,6.83563,
79,5.072806,
80,7.110721,
81,2.650931,
82,2.653016,
83,2.556748,
84,2.608979,
85,8.997645,
86,2.548485,
87,2.056936,
88,2.25568,
89,2.450836,
90,2.412476,
91,3.868932,466
92,5.449828,
93,8.236194,
94,2.541611,
95,3.350157,
96,3.274292,
97,2.833546,
98,2.881385,
99,5.752501,
100,5.902203,
101,3.134369,
102,3.339923,
103,5.73521,
104,5.551558,
105,2.998309,
106,2.8824,521
107,5.07068,
108,2.668899,
109,3.536294,
110,3.107518,
111,3.217871,
112,5.749162,
113,8.006395,
114,8.995866,
115,9.448775,
116,9.260501,
117,7.74001,
118,5.656448,
119,3.004178,
120,3.163191,
121,9.664183,508
122,9.672779,
123,5.548372,
124,9.150227,
125,4.912701,
126,6.673664,
127,4.907385,
128,3.312733,
129,5.470184,
130,7.263644,
131,5.891509,
132,6.696388,
133,5.194755,
134,5.49549,
135,5.024927,
136,6.651293,508
137,5.694305,
138,5.645895,
139,6.120038,
140,3.942635,
141,7.539534,
142,2.698926,
143,2.669536,
144,6.555884,
145,8.404861,
146,5.344546,
147,2.490406,
148,8.792206,
149,5.405731,
150,3.800408,
151,9.668736,488
152,5.165925,
153,5.09549,
154,9.669086,
155,5.472905,
156,5.923937,
157,5.913071,
158,4.987613,
159,7.242304,
160,8.545455,
161,4.976918,
162,5.92725,
163,0.804908,
164,0.788715,
165,0.815706,
166,6.060053,508
167,2.583821,
168,3.40725,
169,1.167346,
170,1.365523,
171,7.343816,
172,2.462942,
173,2.545297,
174,2.557973,
175,3.890574,
176,2.674831,
177,5.238099,
178,2.615054,
179,5.055216,
180,9.675796,
181,9.524826,
182,5.89514,
183,2.61257,
184,9.673967,
185,6.062486,
186,5.036549,
187,7.21349,
188,5.380926,
189,5.567996,
190,6.115496,
191,5.214183,
192,1.983499,
193,7.954419,
194,0.713969,
195,1.907024,
196,9.681015,474
197,0.570167,
198,7.077192,
199,5.079785,
200,9.650343,
201,3.007857,
202,2.911807,
203,3.169455,
204,3.195504,
205,8.534536,
206,6.199272,
207,7.484981,
208,3.317292,
209,3.880921,
210,3.860089,
211,9.671029,
212,8.598743,
213,6.225988,
214,5.477669,
215,6.261653,
216,5.392712,
217,3.805203,
218,7.769001,
219,3.842193,
220,3.946175,
221,3.825438,
222,3.283629,
223,3.823479,
224,3.213446,
225,2.697545,
226,7.483593,488
227,-2.697497,
228,5.480602,
229,5.299983,
230,5.895619,
231,2.530483,
232,5.441695,
233,2.549132,
234,4.028306,
235,2.359874,
236,3.820934,
237,4.365583,
238,3.351373,
239,5.26699,
240,2.948129,
241,5.420163,521
242,7.798181,
243,2.698367,
244,5.429058,
245,6.473019,
246,5.317348,
247,1.909061,
248,1.896766,
249,6.148348,
250,5.783781,
251,1.91092,
252,1.891458,
253,5.393301,
254,5.538743,
255,9.591297,
256,5.759535,521
257,6.483195,
258,5.455377,
259,9.670446,
260,2.228892,
261,6.297645,
262,4.81285,
263,2.11042,
264,7.837599,
265,2.418519,
266,2.383541,
267,5.776732,
268,5.426986,
269,5.001814,
270,2.581358,
271,0.281422,508
272,5.31343,
273,2.65131,
274,2.677208,
275,1.634474,
276,3.612936,
277,4.031219,
278,2.568009,
279,6.077113,
280,2.496044,
281,2.441886,
282,1.251029,
283,5.54393,
284,1.957789,
285,1.475867,
286,7.613044,564
287,2.306852,
288,2.973287,
289,2.548228,
290,2.426754,
291,2.486859,
292,2.641062,
293,2.558115,
294,2.745304,
295,2.3041,
296,2.807538,
297,3.101995,
298,3.144395,
299,2.633417,
300,6.687807,
