generation,id,reward,species,parent1,parent2
0,1,0.6875735794286468,1,-1,-1
0,2,0.6732563128334295,1,-1,-1
0,3,0.6109195524540272,1,-1,-1
0,4,0.7123611965386485,1,-1,-1
0,5,0.5,1,-1,-1
0,6,0.5645646475773849,1,-1,-1
0,7,0.5303130009310639,1,-1,-1
0,8,0.5,1,-1,-1
0,9,0.5070378559880424,1,-1,-1
0,10,0.63292907433609,1,-1,-1
0,11,0.5555108556035155,1,-1,-1
0,12,0.5156574885630268,1,-1,-1
0,13,0.5000175110540053,1,-1,-1
0,14,0.5376906494371759,1,-1,-1
0,15,0.5011720899228871,1,-1,-1
0,16,0.536519257735065,1,-1,-1
0,17,0.6903427004121883,1,-1,-1
0,18,0.6354455744505807,1,-1,-1
0,19,0.5424414829997762,1,-1,-1
0,20,0.5264142653190607,1,-1,-1
0,21,0.5025912693843615,1,-1,-1
0,22,0.5487463813773248,1,-1,-1
0,23,0.5,2,-1,-1
0,24,0.5976662556155626,1,-1,-1
0,25,0.5,1,-1,-1
0,26,0.5037979545626206,2,-1,-1
0,27,0.5009696097135954,1,-1,-1
0,28,0.6765092908577583,1,-1,-1
0,29,0.5066340743843601,1,-1,-1
0,30,0.5,1,-1,-1
0,31,0.45778296113783024,1,-1,-1
0,32,0.5469430315714257,2,-1,-1
0,33,0.6117311387475105,1,-1,-1
0,34,0.5,1,-1,-1
0,35,0.6405585822962541,1,-1,-1
0,36,0.5601096024272321,1,-1,-1
0,37,0.5,1,-1,-1
0,38,0.5297147887797172,1,-1,-1
0,39,0.5091000202726363,1,-1,-1
0,40,0.5,1,-1,-1
0,41,0.5,1,-1,-1
0,42,0.5,1,-1,-1
0,43,0.5127800827849889,1,-1,-1
0,44,0.5,1,-1,-1
0,45,0.5,1,-1,-1
0,46,0.5769921481226077,1,-1,-1
0,47,0.5195160685221818,1,-1,-1
0,48,0.5,1,-1,-1
0,49,0.5,1,-1,-1
0,50,0.5031999932639453,2,-1,-1
1,32,0.5469430315714257,2,-1,-1
1,26,0.5037979545626206,2,-1,-1
1,51,0.5,2,26,26
1,52,0.5002354276002238,2,32,26
1,53,0.5,2,32,26
1,54,0.5006505839863171,2,26,32
1,55,0.5,2,26,32
1,56,0.5,2,26,26
1,57,0.5,2,26,26
1,58,0.5,2,32,32
1,59,0.5000174681946539,2,26,32
1,60,0.5,2,26,32
1,4,0.7123611965386485,2,-1,-1
1,17,0.6903427004121883,2,-1,-1
1,61,0.5,2,17,17
1,62,0.5,2,17,4
1,63,0.5,2,28,17
1,64,0.6712661597185656,2,2,4
1,65,0.5,2,4,17
1,66,0.5,2,4,1
1,67,0.5,2,4,28
1,68,0.5908302150156677,1,17,2
1,69,0.5140170430830053,2,2,17
1,70,0.6606677907173271,1,2,1
1,71,0.5,2,17,2
1,72,0.5,2,2,2
1,73,0.5,2,28,4
1,74,0.6765092908577583,2,28,28
1,75,0.5200628480954199,1,1,1
1,76,0.5,2,4,1
1,77,0.6510078225123541,1,1,1
1,78,0.5,2,17,1
1,79,0.5,2,4,17
1,80,0.5031807686284097,2,28,4
1,81,0.5954496236186537,1,1,2
1,82,0.589334982080256,2,2,2
1,83,0.6538230624993249,2,17,4
1,84,0.596222785639798,2,28,2
1,85,0.5,2,1,17
1,86,0.5,2,4,17
1,87,0.7168631503718256,1,1,2
1,88,0.5,2,17,4
1,89,0.594467831475041,2,28,1
1,90,0.6157315150007874,2,28,17
1,91,0.5141389067962663,2,4,2
1,92,0.5,2,4,28
1,93,0.5689886100403698,1,17,28
1,94,0.5,2,4,2
1,95,0.6214288701191153,2,17,2
1,96,0.6085982943783979,2,17,1
2,4,0.7123611965386485,2,-1,-1
2,17,0.6903427004121883,2,-1,-1
2,97,0.5035307262374105,2,4,83
2,98,0.5113578366027774,1,83,17
2,99,0.5,2,4,83
2,100,0.5050989084342761,2,64,64
2,101,0.6273392409719232,2,4,74
2,102,0.5099734131774072,2,17,4
2,103,0.5,2,64,64
2,104,0.5,2,17,83
2,105,0.7110296084919295,2,4,4
2,106,0.5002240856078636,1,83,74
2,107,0.5009502495036986,2,17,4
2,108,0.6755081233174297,1,74,64
2,109,0.7006962561473243,2,83,74
2,110,0.5,2,83,83
2,111,0.7361817104818694,1,83,74
2,112,0.5,2,64,4
2,113,0.5052790816446566,1,17,83
2,114,0.5417100192203946,2,74,74
2,115,0.6002413606739752,2,74,74
2,116,0.5000369856666685,2,74,4
2,117,0.5,2,83,74
2,118,0.506351473040455,2,83,74
2,119,0.5,2,4,64
2,120,0.5013630652923036,2,74,83
2,121,0.7270822066987572,2,4,64
2,122,0.6503693970719239,2,74,17
2,87,0.7168631503718256,1,1,2
2,70,0.6606677907173271,1,2,1
2,123,0.6741583813404324,1,87,87
2,124,0.5001786615425601,1,70,87
2,125,0.5,1,70,70
2,126,0.5386151873731487,1,87,70
2,127,0.6173436166802269,2,87,70
2,128,0.583400389465864,2,87,70
2,129,0.5409292433571213,1,87,70
2,130,0.6991991968256184,1,87,87
2,131,0.5261856456470729,1,70,70
2,132,0.5017944152936172,1,70,87
2,133,0.5604578894968273,1,70,87
2,134,0.6227634938105093,1,87,70
2,135,0.627497069706046,1,70,87
2,136,0.6070796405366516,1,70,70
2,137,0.634635156635939,1,87,70
2,138,0.5,2,70,70
2,139,0.6832167461715768,1,70,87
2,140,0.5782341680769254,1,87,70
2,141,0.5430811306717639,2,87,70
2,142,0.5568348656634805,1,70,70
3,121,0.7270822066987572,2,4,64
3,4,0.7123611965386485,2,-1,-1
3,143,0.7255821469504316,2,105,105
3,144,0.5732191566346383,2,4,4
3,145,0.5024354704497684,2,105,105
3,146,0.5,2,121,4
3,147,0.5,2,121,4
3,148,0.7435653237662112,2,105,121
3,149,0.6795090370916206,2,4,105
3,150,0.5,2,105,4
3,151,0.7467640045063354,2,4,4
3,152,0.6926943971073682,2,4,4
3,153,0.5729465027693933,2,105,4
3,154,0.7016826437398254,2,121,105
3,155,0.7454545459563907,2,4,4
3,156,0.5163825311864716,2,121,105
3,157,0.5,2,121,105
3,158,0.5873112350926846,2,4,105
3,159,0.5,2,4,121
3,160,0.5000105333696784,2,4,105
3,161,0.6707893732388781,2,4,4
3,162,0.5,2,105,4
3,163,0.5,2,105,121
3,164,0.5,2,121,4
3,111,0.7361817104818694,2,83,74
3,87,0.7168631503718256,1,1,2
3,165,0.5990856984877935,2,87,111
3,166,0.715878171435866,1,130,130
3,167,0.5101310195381246,2,111,130
3,168,0.5679421027214624,1,111,111
3,169,0.6269189354883677,1,87,130
3,170,0.6683797887064685,1,87,87
3,171,0.49327079341169766,1,87,87
3,172,0.5,1,130,130
3,173,0.7118297458024571,2,111,111
3,174,0.5817977334889359,1,111,87
3,175,0.6167588233010691,2,130,111
3,176,0.5396315820593585,1,130,87
3,177,0.6151660197147963,2,111,111
3,178,0.6282811401037444,1,87,87
3,179,0.6178170080025392,1,130,87
3,180,0.6235908424233596,2,87,111
3,181,0.7335681135817538,1,87,130
3,182,0.6407631866613057,1,111,130
3,183,0.7113189979471077,1,87,87
3,184,0.5282442057404556,1,87,130
3,185,0.5333677645126726,1,130,87
3,186,0.7168311428587562,1,87,87
3,187,0.5258908970665456,2,111,130
3,188,0.6012698457062032,2,130,87
4,181,0.7335681135817538,1,87,130
4,87,0.7168631503718256,1,1,2
4,189,0.652792897801904,1,181,87
4,190,0.6369933467566476,1,87,181
4,191,0.6309413216089431,1,87,181
4,192,0.5,1,181,87
4,193,0.5,1,181,87
4,194,0.5,1,181,87
4,195,0.5114774928545751,1,181,87
4,196,0.5286442448936771,1,87,87
4,197,0.6585452913204,1,181,181
4,198,0.5,1,181,87
4,199,0.501673270192954,1,87,87
4,200,0.513695687552672,2,181,181
4,201,0.5225903936183074,1,181,181
4,202,0.5,1,181,87
4,203,0.5,1,181,181
4,204,0.6324123126003639,1,87,181
4,205,0.7335681135817538,1,87,181
4,206,0.6329464534758886,1,181,87
4,207,0.5,1,87,181
4,208,0.7479158996241178,1,181,87
4,151,0.7467640045063354,2,4,4
4,155,0.7454545459563907,2,4,4
4,209,0.741592899070713,2,148,111
4,210,0.5679330564739977,1,151,148
4,211,0.5,2,155,148
4,212,0.7172362542781702,2,155,155
4,213,0.5,2,148,148
4,214,0.5,2,151,111
4,215,0.5,2,155,151
4,216,0.5000525574027457,2,151,148
4,217,0.6046944896370919,2,155,111
4,218,0.5004706019237318,2,111,148
4,219,0.5254143412801209,2,148,148
4,220,0.7362269260772687,2,148,155
4,221,0.515464326427695,2,155,148
4,222,0.5,2,111,155
4,223,0.6209558888017216,2,111,151
4,224,0.5,1,151,151
4,225,0.5,1,151,111
4,226,0.5,1,151,148
4,227,0.6286112436828495,2,111,155
4,228,0.5,2,151,155
4,229,0.5,2,148,111
4,230,0.5,2,155,111
4,231,0.5,1,151,151
4,232,0.5,2,151,151
4,233,0.578118575989536,2,155,148
4,234,0.5442383236488637,2,111,111
5,151,0.7467640045063354,2,4,4
5,155,0.7454545459563907,2,4,4
5,235,0.5,2,155,155
5,236,0.5,2,209,151
5,237,0.5,2,151,155
5,238,0.5,2,155,155
5,239,0.5,2,209,209
5,240,0.740620403216801,2,155,209
5,241,0.7393220379907892,2,151,209
5,242,0.5685316432996435,2,151,151
5,243,0.5,2,155,151
5,244,0.5001354046679096,2,155,209
5,245,0.5,2,151,209
