step,reward,transferred_from
0,6.491684,883
1,6.146559,
2,5.458121,
3,5.454088,
4,9.376301,
5,10.961124,
6,4.42989,
7,5.918507,
8,4.238518,
9,8.323806,
10,4.753797,
11,6.141117,
12,10.831198,
13,5.64216,
14,5.973134,
15,4.516189,
16,4.557667,892
17,4.414228,
18,9.323833,
19,8.043934,
20,12.962979,
21,9.25687,
22,5.55487,
23,10.412693,
24,5.744613,
25,4.70464,
26,9.686609,
27,7.906633,
28,10.667838,
29,4.587356,
30,10.952662,
31,10.900496,
32,10.414335,
33,4.834067,
34,4.333687,
35,6.509593,
36,9.07839,
37,11.97645,
38,5.290055,
39,11.92265,
40,10.231461,
41,4.807468,
42,6.793156,
43,5.868952,
44,10.503137,
45,9.345159,
46,10.753275,
47,10.680196,
48,8.744154,
49,4.675259,
50,5.30571,
51,13.511064,
52,12.891498,
53,9.14791,
54,9.614947,
55,5.17305,
56,8.741362,
57,8.638487,
58,11.058948,
59,11.01701,
60,8.296699,
61,9.493173,
62,4.216621,
63,11.119948,
64,4.326105,
65,8.69038,
66,10.732714,
67,5.75432,
68,8.343745,
69,7.133274,
70,4.380829,
71,11.028829,
72,3.725701,
73,5.434961,
74,8.689298,
75,11.633753,
76,12.806258,
77,3.724142,
78,7.896447,
79,9.738456,
80,9.333391,
81,8.170573,
82,4.413137,
83,5.645082,
84,4.157954,
85,4.153072,
86,4.794913,
87,5.179406,
88,4.152632,
89,6.949281,
90,6.175385,
91,12.773943,892
92,8.539857,
93,4.904771,
94,12.623527,
95,3.662919,
96,4.429421,
97,4.042107,
98,6.316163,
99,4.670664,
100,4.691464,
101,4.110632,
102,4.346926,
103,4.403522,
104,4.058006,
105,6.521271,
106,4.306503,
107,4.295808,
108,4.359085,
109,6.856005,
110,4.434918,
111,5.07432,
112,6.747577,
113,4.909425,
114,13.42254,
115,4.912043,
116,4.295253,
117,5.012481,
118,5.825824,
119,4.193245,
120,6.822324,
121,11.365738,866
122,6.461849,
123,4.372346,
124,4.424847,
125,5.240464,
126,8.730777,
127,4.178828,
128,7.424542,
129,11.932892,
130,9.55345,
131,4.757459,
132,12.487462,
133,9.883187,
134,7.329474,
135,4.935441,
136,13.289473,
137,9.673298,
138,10.288145,
139,9.290921,
140,10.323806,
141,4.456932,
142,8.766594,
143,7.382059,
144,6.330455,
145,6.709214,
146,10.940466,
147,6.323153,
148,7.490734,
149,6.525524,
150,13.518911,
151,4.868866,
152,7.805345,
153,6.488668,
154,13.864621,
155,8.539097,
156,9.289831,
157,3.361283,
158,12.214438,
159,2.795593,
160,4.427228,
161,11.221556,
162,4.93456,
163,4.827804,
164,10.830931,
165,10.93087,
166,6.405367,
167,8.465599,
168,2.855636,
169,2.693592,
170,3.358617,
171,8.751215,
172,9.295498,
173,9.287854,
174,4.398662,
175,0.761166,
176,5.892302,
177,9.258453,
178,11.579769,
179,8.810239,
180,3.28387,
181,4.197449,939
182,8.142964,
183,7.126737,
184,9.934439,
185,5.885742,
186,7.126321,
187,10.941069,
188,9.520324,
189,3.342866,
190,4.897999,
191,7.76003,
192,4.875366,
193,10.918459,
194,7.062353,
195,11.109265,
196,6.482302,
197,7.625708,
198,12.270707,
199,7.804043,
200,5.193666,
201,9.068595,
202,4.682222,
203,3.993506,
204,6.627956,
205,8.529887,
206,5.506697,
207,4.296315,
208,4.892619,
209,3.941394,
210,10.727885,
211,9.407502,
212,8.650595,
213,4.487061,
214,4.182198,
215,3.940268,
216,4.118677,
217,5.639004,
218,4.277977,
219,4.079369,
220,4.000151,
221,4.998636,
222,0.683509,
223,4.81644,
224,4.404,
225,4.810409,
226,4.912057,923
227,4.89211,
228,4.47436,
229,10.977737,
230,4.901634,
231,5.565836,
232,4.339614,
233,3.924962,
234,7.32853,
235,6.415861,
236,4.906362,
237,7.668042,
238,7.553676,
239,4.655872,
240,7.799488,
