step,reward,transferred_from
0,3.245849,3
1,5.250959,
2,1.625376,
3,1.718412,
4,5.617327,
5,1.492577,
6,5.246264,
7,1.442129,
8,2.127269,
9,1.985846,
10,2.123709,
11,1.727986,
12,5.095254,
13,1.744231,
14,1.63379,
15,1.668305,
16,1.614552,33
17,5.129785,
18,1.665859,
19,3.604711,
20,5.739381,
21,1.65411,
22,6.56569,
23,5.416567,
24,1.769997,
25,1.810006,
26,1.65569,
27,1.7868,
28,0.681225,
29,1.70928,
30,1.693656,
31,5.766977,0
32,6.097128,
33,5.119869,
34,5.380295,
35,9.665647,
36,-1.186692,
37,1.810895,
38,1.650449,
39,8.080749,
40,1.796728,
41,1.64429,
42,-1.189011,
43,5.383808,
44,5.812839,
45,5.386094,
46,9.66396,0
47,9.680037,
48,6.234243,
49,9.669025,
50,9.667523,
51,9.667973,
52,6.988999,
53,9.54999,
54,1.760428,
55,1.804347,
56,5.498463,
57,1.710607,
58,6.736599,
59,6.51812,
60,1.812676,
61,6.486847,
62,6.618685,
63,1.649826,
64,5.107077,
65,5.653876,
66,7.243924,
67,1.795421,
68,1.784128,
69,6.93506,
70,1.678917,
71,1.709434,
72,9.687189,
73,5.797955,
74,1.770505,
75,2.005885,
76,2.010505,
77,1.244471,
78,1.495162,
79,6.915159,
80,6.457123,
81,4.704962,
82,1.819133,
83,1.625865,
84,6.575661,
85,1.77535,
86,7.560409,
87,5.926642,
88,3.982613,
89,3.683646,
90,1.658523,
91,5.715656,
92,1.067778,
93,1.171848,
94,1.670518,
95,1.653853,
96,3.126737,
97,1.237938,
98,1.394435,
99,1.436144,
100,1.321248,
101,1.187769,
102,1.21919,
103,1.144018,
104,1.246292,
105,1.089922,
106,1.72215,3
107,2.519302,
108,2.105362,
109,9.680772,
110,2.358106,
111,2.062303,
112,1.991812,
113,2.104263,
114,1.831287,
115,2.01309,
116,1.982866,
117,6.984996,
118,2.009372,
119,1.668851,
120,2.932813,
121,5.294321,3
122,9.666029,
123,8.541236,
124,6.959201,
125,8.527758,
126,7.892646,
127,7.426595,
128,8.084779,
129,1.658966,
130,9.426619,
131,9.676208,
132,8.957597,
133,7.194055,
134,1.722746,
135,1.738772,
136,9.562161,
137,8.023515,
138,4.941562,
139,9.670901,
140,1.758813,
141,3.129752,
142,2.419376,
143,9.137848,
144,2.322733,
145,2.362616,
146,2.419086,
147,2.233843,
148,2.634998,
149,2.839761,
150,2.247871,
151,1.204495,20
152,1.775834,
153,1.707775,
154,1.706357,
155,6.632379,
156,5.474059,
157,1.781037,
158,4.201433,
159,1.710672,
160,1.622276,
161,9.597856,
162,1.638711,
163,1.889952,
164,8.45823,
165,1.813095,
166,9.663167,33
167,9.673173,
168,9.686848,
169,9.668103,
170,9.680895,
171,7.393475,
172,9.675736,
173,9.678347,
174,9.685455,
175,9.664048,
176,9.672288,
177,9.680038,
178,9.684647,
179,9.68721,
180,9.689311,
181,8.152343,
182,9.663642,
183,9.681369,
184,9.662336,
185,9.683927,
186,9.681134,
187,3.846782,
188,9.674624,
189,9.673085,
190,9.671081,
191,9.670693,
192,9.686424,
193,4.868749,
194,9.680877,
195,9.665356,
196,9.670444,
197,9.685981,
198,9.682383,
199,9.670281,
200,1.667424,
201,1.778822,
202,3.351513,
203,6.936284,
204,9.675636,
205,9.669272,
206,5.971863,
207,7.849274,
208,9.664297,
209,9.677626,
210,4.748399,
211,9.30511,
212,9.664404,
213,9.675139,
214,9.679732,
215,9.21745,
216,6.767257,
217,8.667051,
218,9.671795,
219,9.684019,
220,0.704017,
221,9.665635,
222,9.663291,
223,9.66245,
224,2.824975,
225,9.682774,
226,5.364265,
227,5.618587,
228,1.655852,
229,1.658401,
230,9.047517,
