step,score,transferred_from
0,2.812637,380
1,2.091728,
2,3.178157,
3,2.581121,
4,18.547192,
5,9.978399,
6,3.765432,
7,3.430801,
8,9.668928,
9,12.884906,
10,2.045738,
11,17.198313,
12,21.145361,
13,8.861449,
14,2.120283,
15,20.588178,
16,4.294414,
17,3.144254,
18,1.707166,
19,20.33509,
20,3.140319,
21,19.161867,
22,2.141944,
23,1.909772,
24,20.393494,
25,2.07122,
26,1.349143,
27,19.815542,
28,9.205317,
29,4.134763,
30,2.187444,
31,2.647109,
32,8.323218,
33,20.208525,
34,2.479881,
35,2.320012,
36,6.936522,
37,16.139043,
38,10.816641,
39,16.80164,
40,18.95703,
41,19.449729,
42,19.13963,
43,19.360384,
44,8.175421,
45,20.370303,
46,20.078461,
47,17.981574,
48,12.52624,
49,1.879956,
50,1.846432,
51,18.485082,
52,18.67691,
53,19.903703,
54,5.331488,
55,1.460806,
56,19.40189,
57,1.942826,
58,9.653206,
59,7.093436,
60,12.318226,
61,11.279399,
62,18.727659,
63,17.88495,
64,2.552197,
65,1.651226,
66,2.110085,
67,5.755682,
68,2.355822,
69,1.81024,
70,2.525838,
71,1.649806,
72,1.728817,
73,11.490691,
74,17.5176,
75,2.053541,
76,15.210897,
77,6.868537,
78,19.081235,
79,5.404912,
80,6.818698,
81,6.92046,
82,1.68144,
83,17.824519,
84,1.074513,
85,1.489606,
86,1.159987,
87,1.331971,
88,1.716861,
89,2.146857,
90,2.421367,
91,18.292514,423
92,7.393275,
93,18.222648,
94,20.402555,
95,2.208505,
96,17.133063,
97,12.97098,
98,19.355089,
99,15.130648,
100,18.261511,
101,6.816773,
102,2.249574,
103,14.410101,
104,16.148075,
105,6.548604,
106,15.438048,445
107,18.330775,
108,7.760605,
109,18.388525,
110,14.558604,
111,17.991125,
112,2.012806,
113,18.750646,
114,8.613954,
115,1.857528,
116,8.071677,
117,2.555191,
118,1.201791,
119,17.988786,
120,17.878553,
121,2.238447,445
122,8.212297,
123,17.922969,
124,13.624148,
125,20.0752,
126,9.898122,
127,20.309595,
128,6.415898,
129,3.390706,
130,18.789555,
131,3.233387,
132,3.135201,
133,18.990534,
134,18.900427,
135,2.749507,
136,1.819235,455
137,16.275134,
138,18.00397,
139,2.22719,
140,8.584288,
141,14.335702,
142,18.204617,
143,19.28644,
144,7.025875,
145,18.943702,
146,18.891436,
147,18.295657,
148,18.157448,
149,9.838864,
150,16.203997,
151,18.433171,
152,19.399816,
153,7.319434,
154,18.170616,
155,18.32722,
156,17.809335,
157,18.667097,
158,19.00013,
159,18.142803,
160,18.871656,
161,17.888593,
162,18.275744,
163,18.278448,
164,18.254533,
165,17.843131,
166,19.895166,
167,19.119151,
168,18.003382,
169,19.822561,
170,5.161842,
171,15.275353,
172,10.386039,
173,17.375624,
174,8.686666,
175,13.935914,
176,18.854622,
177,18.32397,
178,19.27941,
179,17.719,
180,17.914158,
181,15.731128,
182,2.703747,
183,1.500563,
184,2.121439,
185,2.176842,
186,2.838916,
187,2.19035,
188,-2.180991,
189,2.408574,
190,2.749701,
191,18.057381,
192,19.270498,
193,6.915986,
194,1.884459,
195,1.624942,
196,18.630034,530
197,18.271877,
198,19.889955,
199,17.043762,
200,2.671929,
201,12.032499,
202,19.028869,
203,15.771609,
204,7.317131,
205,19.505444,
206,20.378223,
207,18.737349,
208,19.403112,
209,2.122252,
210,17.076572,
211,19.617047,
212,17.574659,
213,18.928759,
214,8.087304,
215,7.943825,
216,16.51925,
217,15.900417,
218,13.490137,
219,2.903158,
220,15.138595,
221,2.292315,
222,11.230178,
223,1.876168,
224,19.852888,
225,7.932712,
226,7.219289,544
227,3.10966,
228,18.700198,
229,15.292594,
230,19.998707,
231,19.267855,
232,18.383321,
233,2.567272,
234,19.206852,
235,19.55389,
236,19.11717,
237,6.435764,
238,19.279275,
239,17.145936,
240,14.839258,
241,2.204179,
242,19.698524,
243,19.042825,
244,2.359824,
245,1.691267,
246,9.077453,
247,5.701336,
248,18.888829,
249,19.187883,
250,2.09435,
251,2.066204,
252,18.281154,
253,19.578534,
254,20.073267,
255,1.752195,
256,16.728714,559
257,14.403305,
258,1.217425,
259,2.114783,
260,20.886991,
261,8.243122,
262,18.076937,
263,2.663787,
264,2.014325,
265,8.050947,
266,8.514652,
267,3.726166,
268,3.175448,
269,6.873396,
270,8.816871,
271,20.581498,
272,19.229186,
273,19.099386,
274,18.840143,
275,19.185172,
276,3.746549,
277,2.582321,
278,3.210711,
279,18.091069,
280,7.674303,
281,18.91051,
282,3.151298,
283,7.629353,
284,7.425883,
285,18.591099,
286,8.553801,
287,18.122845,
288,19.302505,
289,3.135096,
290,17.296767,
291,9.261962,
292,7.119018,
293,3.503317,
294,7.221457,
295,19.46762,
296,3.37811,
297,7.983616,
298,19.37609,
299,3.410034,
300,8.593224,
