step,reward,transferred_from
0,10.304573,643
1,9.898064,
2,9.752899,
3,10.849953,
4,9.940726,
5,5.095878,
6,6.150666,
7,9.797152,
8,9.581246,
9,8.567334,
10,10.226212,
11,10.19583,
12,10.740586,
13,7.300597,
14,6.168925,
15,5.948531,
16,8.996689,
17,9.811503,
18,5.946098,
19,5.232477,
20,10.378286,
21,10.035347,
22,9.034255,
23,8.503947,
24,9.591895,
25,5.417375,
26,5.482179,
27,4.939329,
28,5.596031,
29,5.018343,
30,5.99097,
31,5.373742,670
32,11.615246,
33,5.982007,
34,5.802319,
35,1.636186,
36,8.684938,
37,4.982511,
38,4.599783,
39,5.23929,
40,5.038421,
41,10.009322,
42,4.844384,
43,4.803082,
44,5.227026,
45,6.796173,
46,3.376093,
47,4.200237,
48,5.564877,
49,9.695802,
50,4.934787,
51,2.368437,
52,11.044709,
53,9.705438,
54,4.985607,
55,1.387777,
56,5.437371,
57,6.900547,
58,9.799425,
59,8.626983,
60,3.020829,
61,6.325854,658
62,5.745517,
63,6.509165,
64,6.001956,
65,6.160045,
66,5.608603,
67,5.932013,
68,5.759208,
69,5.252946,
70,5.870499,
71,5.568065,
72,10.399955,
73,10.570915,
74,5.991039,
75,5.997337,
76,10.40824,
77,9.678088,
78,10.803417,
79,5.683388,
80,8.475531,
81,6.162992,
82,5.688131,
83,11.358131,
84,5.87945,
85,5.468087,
86,5.674098,
87,0.778006,
88,9.891338,
89,7.132998,
90,6.006652,
91,4.815308,
92,5.019651,
93,8.99667,
94,5.646711,
95,10.704209,
96,0.995259,
97,10.15458,
98,7.173852,
99,11.286624,
100,11.002773,
101,5.652075,
102,9.686444,
103,9.24753,
104,6.941377,
105,8.465421,
106,6.099483,658
107,6.087904,
108,6.344741,
109,10.509917,
110,5.626652,
111,5.291908,
112,8.94842,
113,4.897607,
114,5.259642,
115,6.2454,
116,9.726929,
117,4.612671,
118,4.913918,
119,9.336445,
120,5.301711,
121,6.29144,
122,4.604621,
123,9.364026,
124,4.803468,
125,3.697177,
126,5.529977,
127,5.404122,
128,4.96397,
129,4.670589,
130,5.96375,
131,4.548709,
132,10.9158,
133,6.354563,
134,7.077149,
135,4.883935,
136,1.234928,686
137,10.325478,
138,5.673126,
139,5.378675,
140,1.250654,
141,1.247597,
142,2.933862,
143,5.367223,
144,1.246774,
145,5.219806,
146,4.954881,
147,10.098752,
148,1.241817,
149,1.241729,
150,10.250912,
151,5.135819,
152,3.601718,
153,5.317832,
154,4.94937,
155,1.243044,
156,8.499146,
157,7.815314,
158,5.205258,
159,1.585363,
160,5.178721,
161,11.619609,
162,6.053655,
163,5.631748,
164,9.970208,
165,7.838388,
166,9.812293,
167,5.153328,
168,-1.629753,
169,-1.601575,
170,5.714929,
171,5.76791,
172,3.439091,
173,5.504142,
174,0.403994,
175,1.159868,
176,4.987124,
177,4.629378,
178,5.27939,
179,9.88292,
180,5.885226,
181,9.354612,723
182,10.494719,
183,6.095637,
184,10.511086,
185,6.567081,
186,6.52204,
187,5.330625,
188,2.90583,
189,4.847473,
190,10.348899,
191,6.458609,
192,5.256423,
193,6.29442,
194,11.647271,
195,11.083638,
196,5.168995,
197,9.882105,
198,9.403087,
199,5.201479,
200,8.929262,
201,9.667513,
202,6.353775,
203,4.723857,
204,1.536815,
205,5.533435,
206,4.99758,
207,7.809319,
208,4.632666,
209,5.562638,
210,5.04176,
211,1.559595,715
212,4.545429,
213,6.792352,
214,4.93393,
215,5.339723,
216,4.466686,
217,6.227488,
218,4.591671,
219,5.093342,
220,5.40789,
221,6.871381,
222,5.773185,
223,4.897896,
224,9.297211,
225,11.710483,
226,6.028115,
227,5.280819,
228,5.753587,
229,10.820869,
230,7.371336,
231,6.061732,
232,6.507605,
233,10.377521,
234,6.698956,
235,5.592278,
236,5.855945,
237,6.365278,
238,7.233467,
239,5.966121,
240,8.757618,
241,11.33673,
242,6.398909,
243,5.552314,
244,4.735802,
245,5.733338,
246,6.375712,
247,5.71536,
248,4.751346,
249,5.886534,
250,4.869175,
251,5.841186,
252,9.75805,
253,10.364912,
254,3.170442,
255,4.942901,
256,5.961789,
257,11.124909,
258,5.015355,
259,5.64402,
260,4.812897,
261,4.787944,
262,5.484272,
263,5.833655,
264,6.079215,
265,10.186388,
266,6.069837,
267,5.701906,
268,10.244108,
269,9.583393,
270,9.916947,
271,9.431554,
272,4.501075,
273,4.818327,
274,7.225956,
275,3.8624,
276,10.392635,
277,4.770069,
278,7.310314,
279,9.201336,
280,1.666268,
281,12.062587,
282,5.797633,
283,7.418291,
284,6.24307,
285,6.037172,
286,5.984611,
287,10.849665,
288,9.863317,
289,9.996633,
290,6.019728,
291,6.374945,
292,6.089883,
293,4.776898,
294,6.206228,
295,9.953504,
296,10.233867,
297,5.700135,
298,5.464592,
299,5.466242,
300,5.19949,
