step,reward,transferred_from
0,7.211724,804
1,6.121524,
2,0.670735,
3,6.211382,
4,7.204536,
5,7.08152,
6,7.148764,
7,5.416995,
8,6.072182,
9,3.615281,
10,6.231126,
11,5.710847,
12,7.531729,
13,5.859871,
14,7.105192,
15,6.303931,
16,6.991678,
17,5.763767,
18,0.825559,
19,6.714695,
20,5.088942,
21,4.817467,
22,4.390519,
23,5.75414,
24,6.216311,
25,7.004547,
26,5.537415,
27,5.107812,
28,4.784793,
29,4.313225,
30,6.137236,
31,5.626346,813
32,3.583586,
33,4.421775,
34,6.727272,
35,2.94561,
36,0.720973,
37,6.77812,
38,7.135629,
39,3.540117,
40,3.53984,
41,4.89104,
42,7.005491,
43,0.700821,
44,0.720861,
45,6.547025,
46,4.825388,
47,7.250697,
48,4.778319,
49,0.744775,
50,3.583563,
51,0.727002,
52,0.74149,
53,4.810486,
54,4.165517,
55,2.059102,
56,3.583552,
57,4.208656,
58,4.901452,
59,5.03846,
60,6.952349,
61,7.182528,774
62,3.610583,
63,7.632851,
64,7.426707,
65,2.083669,
66,1.870806,
67,4.076105,
68,7.199444,
69,1.936076,
70,7.110639,
71,0.734351,
72,3.604115,
73,6.181906,
74,3.610605,
75,0.724752,
76,6.314289,848
77,6.771834,
78,6.867343,
79,7.302602,
80,6.443625,
81,6.775631,
82,6.760678,
83,5.22499,
84,6.454645,
85,7.093757,
86,2.968033,
87,2.982559,
88,6.426648,
89,6.190086,
90,6.781231,
91,7.170453,830
92,7.084525,
93,7.833491,
94,6.831436,
95,0.729438,
96,5.654461,
97,6.772952,
98,6.780658,
99,5.455585,
100,7.245756,
101,6.28317,
102,6.289493,
103,6.877141,
104,2.779124,
105,1.868325,
106,4.65487,796
107,4.429272,
108,5.035449,
109,6.103852,
110,4.255601,
111,5.078386,
112,6.823039,
113,6.997013,
114,4.518939,
115,4.265367,
116,4.676608,
117,4.679952,
118,1.946631,
119,7.154534,
120,6.76116,
121,3.61487,848
122,6.791028,
123,7.051054,
124,3.993101,
125,4.124017,
126,0.741114,
127,6.15576,
128,0.717453,
129,4.073704,
130,4.523883,
131,7.005406,
132,2.144763,
133,2.101894,
134,2.187961,
135,2.206148,
136,7.032729,883
137,7.168326,
138,6.732715,
139,7.077869,
140,7.267032,
141,5.848026,
142,7.265601,
143,6.262706,
144,6.960387,
145,7.275852,
146,6.762296,
147,7.148701,
148,7.406671,
149,4.614213,
150,4.573178,
151,7.140602,
152,6.010731,
153,7.124009,
154,6.78936,
155,5.769817,
156,7.021557,
157,4.824174,
158,6.213602,
159,4.812136,
160,5.124391,
161,7.155007,
162,5.804903,
163,6.712888,
164,6.77761,
165,6.785777,
166,6.012067,
167,7.17813,
168,5.742134,
169,7.187091,
170,7.217506,
171,5.08786,
172,6.234025,
173,6.921691,
174,6.321095,
175,6.651918,
176,4.967895,
177,6.080732,
178,6.79057,
179,6.769992,
180,6.718529,
181,8.453889,883
182,6.423708,
183,5.766515,
184,-2.73413,
185,7.147397,
186,5.66349,
187,6.815353,
188,7.272353,
189,5.08483,
190,7.053922,
191,4.170265,
192,8.564519,
193,6.86989,
194,3.576412,
195,7.160291,
196,6.880529,
197,6.069868,
198,-1.363187,
199,3.576402,
200,7.035293,
201,4.120774,
202,5.378199,
203,3.576408,
204,4.181097,
205,3.576413,
206,7.312501,
207,3.576406,
208,0.726972,
209,7.349149,
210,6.080483,
211,7.206079,
212,3.576411,
213,0.748878,
214,3.576402,
215,0.721932,
216,6.771422,
217,4.087133,
218,7.038837,
219,3.61146,
220,4.790902,
221,0.725699,
222,6.716342,
223,3.986965,
224,0.747789,
225,-0.047875,
226,7.660008,897
227,7.040887,
228,6.775785,
229,6.313026,
230,6.761067,
231,6.776651,
232,3.941136,
233,7.04773,
234,5.733355,
235,6.77768,
236,6.109817,
237,7.356682,
238,6.744867,
239,5.776603,
240,6.927632,
241,4.34531,
242,2.224599,
243,7.011468,
244,2.26665,
245,6.252166,
246,7.088185,
247,5.60206,
248,4.025364,
249,4.519063,
250,0.730534,
251,0.711141,
252,3.901929,
253,5.991178,
254,3.888619,
255,0.769383,
256,6.763645,897
257,7.12182,
258,6.79003,
259,4.820252,
260,4.42122,
261,5.548811,
262,7.221312,
263,4.805038,
264,7.394555,
265,5.917179,
266,7.190301,
267,7.363982,
268,-1.52545,
269,3.627064,
270,4.79421,
271,6.217977,906
272,0.706867,
273,0.732017,
274,0.748255,
275,3.61593,
276,7.526544,
277,5.573795,
278,0.653858,
279,0.726119,
280,6.970756,
281,6.194943,
282,3.590161,
283,3.95682,
284,7.266168,
285,4.744254,
286,0.688461,
287,0.743721,
288,6.540971,
289,3.605906,
290,7.119624,
291,3.591996,
292,4.948691,
293,7.411659,
294,7.019774,
295,0.736048,
296,5.13833,
297,7.10118,
298,7.26809,
299,6.909795,
300,7.195613,
