generation,id,novelty,score,species,parent1,parent2
234,44395,0.38745253234058624,1.712788,13,44294,44294
235,44523,0.4355331339464984,1.695194,13,44424,44435
236,44727,0.392168744597918,1.612884,13,44587,44527
237,45097,0.4613222699992062,1.643241,13,44787,44764
238,45267,0.42515416112751847,1.680707,11,44994,44903
239,45370,0.28760655906785687,1.631897,13,45171,45206
240,45609,0.46462351108171684,2.714141,13,45382,45382
241,45800,0.3346131191883505,1.550209,13,45594,44443
242,46008,0.3759840505274635,1.588975,13,45773,45773
243,46174,0.39831206098634714,1.623989,13,45773,44443
244,46373,0.4503112471784987,1.670696,13,46151,46183
245,46624,0.4890101838910766,1.582386,11,46448,43508
246,46809,0.4707938650197128,1.539627,11,46646,45971
247,46854,0.483390469049209,1.610213,13,46658,46684
248,47208,0.27874153081422964,1.801506,11,47031,47031
249,47343,0.4949759054041876,1.660872,13,46496,46496
250,47584,0.3829061679933493,1.552715,13,47321,47340
251,47726,0.4265695725144,1.710621,13,47605,47110
252,47888,0.4726760624177895,1.688604,13,47734,47110
253,48087,0.38293565529135204,1.665462,13,47877,47888
254,48279,0.4451524520132669,1.650067,13,48073,48110
255,48518,0.4292466570265029,1.64602,14,48054,48054
256,48681,0.4570128568119446,1.691706,13,48401,48408
257,48913,0.41250507505279094,1.679214,13,48654,48646
258,49013,0.4059636728511188,1.637504,14,48818,48806
259,49253,0.43239845438647856,1.72067,13,49102,49102
260,49390,0.5028854023002927,1.672208,13,49250,49241
261,49594,0.49036151045246834,2.249598,13,49355,49392
262,49594,0.4010573481868476,2.249598,13,49355,49392
263,50044,0.47180288701702433,1.667971,14,49884,49427
264,50170,0.4637707993161735,1.615365,12,49954,49935
265,50170,0.4010648426511604,1.615365,12,49954,49935
266,50585,0.44567201245665666,1.541955,12,50334,50333
267,50867,0.4275317957068949,1.683707,11,47955,50621
268,50915,0.5379400338112513,1.618117,13,50136,50765
269,50915,0.4915426412479488,1.618117,13,50136,50765
270,51411,0.34588984321905836,1.621444,11,51216,45971
271,50915,0.4315132475399128,1.618117,13,50136,50765
272,51814,0.4953478716416404,1.512289,12,51536,51540
273,51970,0.46811535931389553,1.710599,13,51757,51749
274,52208,0.45134657024999164,1.605928,12,52010,49049
275,52382,0.4294688760314315,1.735316,14,52055,52095
276,52586,0.33887746365713783,1.635859,14,52081,52388
277,52704,0.374036846519836,1.570426,12,52455,49049
278,52924,0.467338405509963,1.611913,14,52784,52779
279,53069,0.4209353870796843,1.617963,12,52945,52699
280,53386,0.4961193743557299,1.559167,13,53157,53161
281,53465,0.4092967021159695,1.565069,12,53286,53278
282,53657,0.3876482770049788,1.540455,12,49049,53314
283,53831,0.392041325170957,1.642097,14,53709,53690
284,54071,0.4632992502946033,1.561053,12,53625,53926
285,54336,0.4822090431139301,1.602226,12,54071,54076
286,54373,0.5354573778446563,1.660187,13,54186,54186
287,54729,0.538133511075523,2.744714,13,54370,54377
288,54729,0.5287693636159558,2.744714,13,54370,54377
289,54729,0.5243590662592709,2.744714,13,54370,54377
290,54729,0.5321305305643326,2.744714,13,54370,54377
291,55439,0.48267457683231646,2.849784,13,55276,54729
292,55661,0.38987290850214595,1.637946,12,55221,55221
293,55825,0.44752326672309345,1.682025,12,55655,55601
294,55942,0.3871787137560416,1.72206,14,55766,55766
295,56296,0.4507112903168914,2.771499,12,55980,56046
