step,reward,transferred_from
0,5.55941,796
1,6.389427,
2,2.625169,
3,0.028836,
4,2.364538,
5,4.580587,
6,5.004573,
7,4.868589,
8,2.232166,
9,2.316938,
10,4.229069,
11,-1.235049,
12,2.853279,
13,4.213322,
14,4.46407,
15,4.985695,
16,3.111763,
17,2.603013,
18,1.131759,
19,3.705508,
20,5.819694,
21,3.836412,
22,4.532708,
23,4.853283,
24,3.278824,
25,2.748944,
26,0.027305,
27,4.272653,
28,4.158988,
29,6.41195,
30,3.183439,
31,5.001832,
32,2.343002,
33,2.658225,
34,3.201506,
35,3.303915,
36,4.501327,
37,5.059663,
38,3.274868,
39,4.62226,
40,3.153497,
41,4.939218,
42,4.615475,
43,3.808807,
44,3.657707,
45,5.013339,
46,3.314011,
47,2.22309,
48,4.343166,
49,3.316048,
50,4.664896,
51,3.260781,
52,6.272952,
53,6.404596,
54,5.143704,
55,2.763611,
56,3.212512,
57,2.342093,
58,3.314503,
59,3.884819,
60,2.976645,
61,4.303583,830
62,3.988013,
63,4.245894,
64,4.171836,
65,2.582086,
66,4.612345,
67,3.361944,
68,4.309696,
69,6.42126,
70,4.028942,
71,3.211732,
72,-0.997818,
73,4.98126,
74,6.409676,
75,4.982795,
76,4.610467,
77,4.523759,
78,2.95602,
79,2.180237,
80,3.198321,
81,3.206724,
82,4.113442,
83,3.209239,
84,3.204573,
85,4.650458,
86,3.209783,
87,4.698684,
88,2.139061,
89,3.196654,
90,3.134984,
91,4.607132,796
92,4.024545,
93,4.02584,
94,4.023208,
95,4.034325,
96,4.682087,
97,4.673028,
98,3.324664,
99,6.476794,
100,5.04648,
101,4.562416,
102,4.162288,
103,2.83333,
104,4.01575,
105,5.068143,
106,4.311097,
107,4.610972,
108,4.187734,
109,3.197595,
110,3.96428,
111,4.010888,
112,5.373697,
113,2.504609,
114,4.622948,
115,4.607617,
116,3.935854,
117,4.240497,
118,4.977413,
119,3.202271,
120,4.610066,
121,6.121094,866
122,4.718313,
123,6.175703,
124,6.420516,
125,3.191706,
126,4.321587,
127,2.100458,
128,4.605886,
129,4.038255,
130,6.390115,
131,4.616211,
132,4.658184,
133,4.991946,
134,4.316211,
135,2.636173,
136,3.17171,796
137,6.426382,
138,3.690324,
139,4.618291,
140,4.722029,
141,4.959025,
142,4.304632,
143,3.986479,
144,5.089754,
145,6.331832,
146,5.125691,
147,4.511547,
148,6.467876,
149,4.724468,
150,4.864789,
151,5.110475,
152,4.57383,
153,4.664515,
154,4.254719,
155,4.018231,
156,3.964942,
157,4.648841,
158,0.782736,
159,5.092975,
160,4.721919,
161,3.232948,
162,4.979427,
163,2.699303,
164,4.580894,
165,4.733121,
166,4.638993,
167,4.690482,
168,5.123983,
169,5.858367,
170,4.561767,
171,4.155851,
172,3.23995,
173,4.710545,
174,6.40712,
175,4.964466,
176,4.473339,
177,6.41275,
178,3.167541,
179,3.590202,
180,4.446165,
181,6.39235,
182,6.264771,
183,4.301643,
184,5.482059,
185,5.400166,
186,4.569722,
187,3.053544,
188,4.965946,
189,3.169327,
190,-1.4566,
191,6.49137,
192,5.008711,
193,4.615623,
194,5.132944,
195,4.225804,
196,6.434233,
197,5.426831,
198,8.32075,
199,6.424994,
200,4.948314,
201,6.3771,
202,3.330839,
203,4.308545,
204,4.572569,
205,5.031514,
206,4.86513,
207,5.081827,
208,4.974536,
209,3.170296,
210,4.045109,
211,3.842659,830
212,6.438306,
213,0.009709,
214,5.037223,
215,4.537674,
216,4.703355,
217,5.135106,
218,0.737205,
219,-1.440747,
220,3.752606,
221,6.111917,
222,5.478602,
223,3.528469,
224,5.84032,
225,4.965802,
226,5.122618,906
227,5.299863,
228,4.306077,
229,4.966849,
230,3.439369,
231,4.564755,
232,5.632583,
233,3.292694,
234,4.006796,
235,3.187112,
236,4.309495,
237,3.184507,
238,6.303048,
239,6.496939,
240,4.143359,
241,5.097611,
242,5.029307,
243,4.572709,
244,4.969411,
245,5.112019,
246,4.550414,
247,3.996694,
248,3.577174,
249,4.573236,
250,4.514115,
251,4.997338,
252,4.636993,
253,2.624877,
254,4.023919,
255,2.629756,
256,5.048298,906
257,3.323463,
258,1.770711,
259,1.90428,
260,2.300158,
261,1.762033,
262,2.487573,
263,1.889938,
264,2.903569,
265,4.302313,
266,1.905541,
267,1.900614,
268,3.287047,
269,1.765372,
270,2.564208,
271,6.18149,851
272,4.576262,
273,7.162698,
274,4.67473,
275,4.65154,
276,3.055102,
277,3.275052,
278,3.175591,
279,3.291547,
280,4.706619,
281,6.380962,
282,3.95972,
283,4.572007,
284,8.304128,
285,2.619774,
286,3.181468,
287,3.605186,
288,6.394271,
289,4.968738,
290,4.582883,
291,-2.615286,
292,-2.620043,
293,-2.627425,
294,4.047114,
295,4.570519,
296,3.221478,
297,3.218528,
298,3.859593,
299,4.576644,
300,3.39401,
