iteration,key,parent
0,0,
360,4,0
450,16,0
480,21,0
510,36,0
540,45,0
570,54,21
600,63,4
630,74,4
690,93,4
720,107,4
780,128,45
900,168,54
960,187,63
1080,221,168
1110,237,45
1140,241,128
1200,262,221
1230,271,221
1260,284,262
1290,291,107
1320,301,284
1350,313,168
1380,326,291
1410,340,326
1440,350,262
1470,355,284
1500,362,326
1530,380,291
1560,384,313
1590,399,301
1620,410,326
1650,418,380
1680,423,326
1710,437,423
1740,445,384
1770,455,362
1800,469,380
1830,471,384
1860,487,445
1890,492,399
1920,509,471
1950,515,469
1980,530,471
2010,532,530
2040,544,509
2070,559,455
2100,569,559
2130,574,530
2160,582,487
2190,598,530
2220,605,582
2250,620,598
2280,622,582
2310,631,574
2340,648,598
2370,655,605
2400,661,574
2430,679,598
2460,690,631
2490,696,620
2520,705,690
2550,714,622
2580,724,679
2610,738,679
2640,744,696
2670,752,744
2700,763,738
2730,776,744
2760,790,763
2790,798,705
2820,808,776
2850,811,790
2880,824,752
2910,838,763
2970,858,811
