step,score,transferred_from
0,2.393456,262
1,2.585055,
2,2.423465,
3,3.816894,
4,1.397022,
5,3.556177,
6,2.912539,
7,2.525035,
8,1.953482,
9,3.477076,
10,3.722437,
11,3.643307,
12,3.405523,
13,3.40246,
14,2.691985,
15,3.84397,
16,1.791954,
17,1.787143,
18,3.728767,
19,2.486462,
20,1.952502,
21,1.697698,
22,2.561591,
23,2.049654,
24,2.615126,
25,3.639268,
26,3.527471,
27,1.974534,
28,2.099983,
29,2.05287,
30,2.138845,
31,3.521387,
32,2.103791,
33,2.145167,
34,2.04346,
35,1.758163,
36,2.481259,
37,2.848767,
38,2.32316,
39,2.002359,
40,2.301698,
41,2.219613,
42,1.779476,
43,1.248788,
44,1.385542,
45,2.401802,
46,3.048027,284
47,1.886056,
48,3.221026,
49,2.538054,
50,3.811819,
51,2.427622,
52,1.811048,
53,3.670632,
54,3.813643,
55,1.501659,
56,3.27506,
57,1.71187,
58,1.575005,
59,1.86177,
60,1.787465,
61,3.340256,271
62,1.84926,
63,2.094976,
64,1.684817,
65,2.456176,
66,4.023721,
67,3.059707,
68,1.719496,
69,1.761649,
70,1.759922,
71,1.688074,
72,3.557669,
73,1.683903,
74,1.720437,
75,3.776114,
76,3.926274,
77,2.03113,
78,2.422148,
79,3.651918,
80,2.782238,
81,3.522084,
82,3.317338,
83,2.092196,
84,2.72585,
85,3.572826,
86,1.890668,
87,2.322644,
88,3.274999,
89,3.490475,
90,3.615516,
91,1.998837,
92,3.479566,
93,1.911755,
94,3.446704,
95,3.390744,
96,2.136576,
97,3.406177,
98,3.752006,
99,1.892384,
100,3.06183,
101,3.418276,
102,3.457167,
103,1.885595,
104,3.598231,
105,3.336986,
106,3.409142,
107,3.274771,
108,2.730037,
109,1.061421,
110,1.821774,
111,3.245546,
112,3.244697,
113,1.737765,
114,0.783111,
115,0.712799,
116,1.776677,
117,0.714216,
118,2.360829,
119,2.935633,
120,2.191935,
121,1.909447,
122,2.061529,
123,1.507681,
124,1.571649,
125,1.51906,
126,1.644408,
127,3.332634,
128,2.574009,
129,2.773686,
130,2.860541,
131,2.917132,
132,2.827413,
133,3.074639,
134,3.003589,
135,2.689263,
136,3.169295,
137,3.056358,
138,2.68613,
139,2.842006,
140,2.788709,
141,3.117407,
142,2.89852,
143,2.448098,
144,3.180134,
145,2.695157,
146,2.627302,
147,2.900269,
148,2.778786,
149,3.217002,
150,2.73532,
151,2.765639,
152,2.542713,
153,2.359765,
154,2.548067,
155,2.532655,
156,2.683479,
157,2.607721,
158,2.480008,
159,2.497447,
160,3.179702,
161,2.630643,
162,3.125044,
163,1.650138,
164,2.926391,
165,3.088514,
166,2.327832,
167,1.526173,
168,1.351485,
169,1.650081,
170,1.46992,
171,1.479371,
172,1.609085,
173,3.014096,
174,2.502759,
175,3.004789,
176,2.55518,
177,3.263809,
178,3.184366,
179,3.227487,
180,1.573688,
181,3.544429,380
182,3.627224,
183,3.319481,
184,3.440026,
185,3.266968,
186,3.008038,
187,3.2387,
188,3.341642,
189,3.089348,
190,3.256041,
191,2.539332,
192,3.217251,
193,3.116708,
194,1.65699,
195,3.39847,
196,3.402626,
197,3.425063,
198,3.069594,
199,1.743467,
200,2.803748,
201,2.947419,
202,3.072933,
203,3.321317,
204,1.659991,
205,1.251183,
206,1.244948,
207,1.854031,
208,3.438053,
209,2.661501,
210,2.611876,
211,2.889123,
212,2.531915,
213,2.445378,
214,3.019728,
215,3.241363,
216,3.284439,
217,2.988888,
218,3.276589,
219,3.174871,
220,3.349207,
221,3.4272,
222,3.49728,
223,3.065668,
224,3.178208,
225,3.191977,
226,2.819297,
227,3.134184,
228,3.030699,
229,3.353337,
230,3.146503,
231,3.103626,
232,3.201353,
233,3.023511,
234,3.10563,
235,3.174653,
236,3.16218,
237,3.316928,
238,3.18846,
239,2.810745,
240,3.135092,
241,3.174663,
242,3.304655,
243,3.109589,
244,2.966784,
245,3.215672,
246,3.143212,
247,2.899141,
248,1.554563,
249,3.079602,
250,3.290621,
251,3.294102,
252,2.484123,
253,3.084672,
254,2.504875,
255,2.396137,
256,2.954695,
257,3.243151,
258,3.15995,
259,2.719141,
260,3.271824,
261,3.005269,
262,3.212924,
263,3.240796,
264,2.780081,
265,2.009566,
266,2.903915,
267,3.028374,
268,3.022688,
269,2.764414,
270,3.094645,
271,3.319618,
272,2.723341,
273,2.942615,
274,2.982049,
275,2.936318,
276,3.176043,
277,3.151036,
278,3.138679,
279,3.161115,
280,3.039835,
281,2.952674,
282,2.757743,
283,2.851224,
284,2.610132,
285,3.03844,
286,2.742592,
287,2.710318,
288,3.037848,
289,2.91126,
290,3.328168,
291,1.519339,
292,3.265359,
293,3.190491,
294,3.038605,
295,3.108612,
296,1.563125,
297,1.329369,
298,1.88001,
299,2.004675,
300,3.403533,
