step,reward,transferred_from
0,6.56892,454
1,4.118433,
2,4.641384,
3,4.354514,
4,-2.497634,
5,5.142685,
6,4.359317,
7,5.909646,
8,-1.505609,
9,1.950315,
10,3.65273,
11,1.73046,
12,1.789026,
13,4.797049,
14,1.597471,
15,5.761189,
16,4.257268,
17,4.376225,
18,4.851556,
19,5.510233,
20,5.286934,
21,4.601309,
22,4.751827,
23,-0.801698,
24,7.346162,
25,4.757545,
26,4.842158,
27,3.595419,
28,5.293048,
29,4.105459,
30,4.032535,
31,4.782639,511
32,4.804968,
33,6.896076,
34,5.369948,
35,6.420379,
36,7.035849,
37,4.243268,
38,6.284968,
39,7.332357,
40,4.652364,
41,4.830953,
42,3.551548,
43,4.733181,
44,4.78923,
45,7.13722,
46,5.501828,
47,5.342676,
48,5.291432,
49,4.622363,
50,6.559656,
51,5.887592,
52,5.002493,
53,7.487284,
54,4.808214,
55,5.472303,
56,3.559073,
57,4.765649,
58,7.174987,
59,4.298788,
60,5.013209,
61,4.813499,
62,8.084775,
63,5.771017,
64,3.547008,
65,7.535814,
66,8.666284,
67,4.596196,
68,4.293264,
69,3.981141,
70,6.586754,
71,3.776313,
72,9.624479,
73,5.708944,
74,3.515863,
75,3.512895,
76,5.804934,
77,7.087982,
78,4.819835,
79,5.107434,
80,4.792282,
81,5.441965,
82,4.300944,
83,4.275985,
84,4.850297,
85,3.546906,
86,7.741631,
87,4.699892,
88,4.789034,
89,6.519786,
90,4.822969,
91,4.236558,
92,5.377506,
93,4.726738,
94,7.217057,
95,7.557101,
96,5.345299,
97,5.473374,
98,5.300415,
99,5.420601,
100,3.623495,
101,4.746168,
102,4.023989,
103,3.644345,
104,4.229939,
105,4.702314,
106,6.120908,564
107,3.531611,
108,6.617878,
109,4.764785,
110,0.819499,
111,4.700838,
112,4.754697,
113,3.93358,
114,4.281827,
115,4.710841,
116,4.05139,
117,4.939975,
118,8.062835,
119,5.597107,
120,5.329137,
121,0.791298,
122,6.600406,
123,4.734542,
124,4.264885,
125,5.310469,
126,4.870055,
127,4.266149,
128,4.732572,
129,4.798936,
130,5.219837,
131,4.443185,
132,4.524295,
133,5.362307,
134,4.816605,
135,0.33979,
136,5.33394,
137,5.070795,
138,5.198048,
139,4.510008,
140,4.215719,
141,4.819017,
142,7.573219,
143,4.5096,
144,4.857028,
145,7.889541,
146,3.647552,
147,5.399363,
148,5.910507,
149,8.265369,
150,4.824325,
151,5.917243,
152,5.911586,
153,4.749002,
154,5.081645,
155,4.831413,
156,4.831248,
157,4.179644,
158,7.101194,
159,3.356308,
160,4.725769,
161,9.599392,
162,5.386983,
163,4.778742,
164,0.812709,
165,6.556646,
166,5.497255,
167,6.951199,
168,7.32795,
169,7.350394,
170,8.406928,
171,5.445561,
172,6.351621,
173,8.776478,
174,5.198487,
175,5.447014,
176,4.789318,
177,4.308144,
178,5.756685,
179,6.599484,
180,5.079998,
181,1.717943,558
182,4.373879,
183,5.299286,
184,5.321217,
185,5.921355,
186,3.946059,
187,6.936888,
188,8.041595,
189,4.645943,
190,7.978346,
191,4.812417,
192,5.440104,
193,4.322522,
194,5.72473,
195,5.340049,
196,5.973892,
197,5.733767,
198,6.147668,
199,5.806405,
200,7.074199,
201,3.486958,
202,4.236859,
203,5.246588,
204,8.067468,
205,8.004153,
206,8.167355,
207,5.417816,
208,5.330487,
209,5.787054,
210,5.399651,
211,4.799094,
212,7.476116,
213,5.297438,
214,4.174101,
215,7.445405,
216,8.992522,
217,4.281827,
218,4.22328,
219,4.761698,
220,3.978153,
221,6.562245,
222,6.632475,
223,4.784361,
224,5.388323,
225,6.273639,
226,7.323356,604
227,7.855991,
228,6.35275,
229,7.126649,
230,4.357151,
231,4.311154,
232,4.453414,
233,4.804562,
234,5.79996,
235,5.407972,
236,1.963614,
237,5.924111,
238,4.719586,
239,4.000874,
240,3.542568,
241,3.705039,586
242,5.421288,
243,3.372505,
244,7.150783,
245,4.566268,
246,4.639198,
247,5.854388,
248,3.712427,
249,3.954671,
250,3.69895,
251,6.475091,
252,4.36876,
253,3.713564,
254,5.342437,
255,4.019638,
256,3.877046,591
257,5.682494,
258,3.971126,
259,8.044113,
260,4.962569,
261,4.205505,
262,4.16292,
263,4.373936,
264,4.917614,
265,4.31027,
266,5.058022,
267,5.388063,
268,3.741083,
269,5.353624,
270,4.009528,
271,7.245784,620
272,1.905721,
273,3.884024,
274,3.605012,
275,4.059694,
276,5.7038,
277,0.96714,
278,4.785835,
279,1.584243,
280,4.334285,
281,4.846086,
282,3.458013,
283,4.31153,
284,4.479431,
285,7.323322,
286,3.742397,
287,3.896007,
288,3.947194,
289,3.613263,
290,3.636192,
291,3.99146,
292,6.327755,
293,5.392052,
294,7.294641,
295,4.23488,
296,4.371245,
297,3.815519,
298,3.740984,
299,3.712663,
300,7.109154,
